detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
Ara Kat,ÜST GRUP'TAN MEZİRE BAHÇECİK'TE DENİZ MANZARALI 2+1 DAİRE,none,0,0,0,0,0,none,0,,1289931971
,BAŞİSKELE BARBAROS MAH SATILIK ZEMİN KAT 3+1 DAİRE,none,0,0,0,0,0,none,0,,1324144829
Ara Kat,"BAŞİSKELE BAHÇECİKTE DOĞA İLE İÇ İÇE, MODERN VE DONANIMLI 3+1",none,0,0,0,0,0,none,0,,1312918014
,BAŞISKELE KULLAR'DA SATILIK 2 + 1 DAIRE,none,0,0,0,0,0,none,0,,1310047773
Ara Kat,BAŞİSKELE DENİZ MANZARALI SAHİL YAKINI 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1263664821
,Barbaros Mh Düzayak 3+1 Satılık Ferah Daire,none,0,0,0,0,0,none,0,,1324089087
Dubleks|Bahçe Dubleksi,KOCAELİ BAŞİSKELE SİTE İÇİ BAHÇELİ 3+1 HAVUZLU SATILIK DAİRE,garden,1,0,1,0,0,detail,0,,1312946245
,BAŞİSKELE KÖRFEZ MAH. BAHÇE KULLANIMLI 2+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1324033372
,KW 'DEN PEKDEMİR EVİMİZ KOCAELİ SİTE'SİNDE SATILIK 2+1 DAİRE,none,0,0,0,0,0,none,0,,1278586777
,TURYAP PALAS EVİMİZ KOCAELİ SİTESİ BAHÇEKATI YAPILI AYRI MUTFAK,none,0,0,0,0,0,none,0,,1323954402
En Üst Kat,"Başiskele Evimiz Kocaeli Satılık 2+1 Daire, 75m² Net",none,0,0,0,0,0,none,0,,1320893051
Ara Kat,AtticHouse'tan Satılık Merkezi Konumlu 2+1 Daire,none,0,0,0,0,0,none,0,,1307050577
Çatı Dubleksi,Bahama Proje 1 Projesi 3+1 175m2 Balkonlu Satılık Daire,roof,1,1,0,0,0,detail,0,,1324151113
,XXL bu m2 de bu fiyata bulmak zor,none,0,0,0,0,0,none,0,,1291101474
Ara Kat,BAŞİSKELE YAKACIK MH.DE LÜKS YAPILI SATILIK 2+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1318271904
,BAŞİSKELE BARBAROS'DA 3+1 110 m2 DAİRE,none,0,0,0,0,0,none,0,,1312666359
,Yaylacık mahallesi manzaralı geniş balkonlu 2+1,none,0,0,0,0,0,none,0,,1323824202
,SAHİBİNDEN BAŞİSKELE KULLAR'DA CADDE ÜZERİNDE 3+1 SIFIR DAİRE,none,0,0,0,0,0,none,0,,1323820919
Dubleks|En Üst Kat|Ara Kat|Bahçe Dubleksi|Çatı Dubleksi,BAŞİSKELE KULLAR'DA PRESTİJLİ YAŞAM PROJESİ SINIRLI SAYIDA DAİRE,roof,1,1,0,0,0,detail,0,,1306758060
Ara Kat,ESKİDJİDEN BAŞİSKELEDE SİTE İÇERİSİNDE AYRI MUTFAKLI ARAKAT 1+1,none,0,0,0,0,0,none,0,,1305234753
Ara Kat,Başiskele Altınkent Mah. Altın Vadi Evleri'nde Satılık 3+1 Daire,none,0,0,0,0,0,none,0,,1318362891
Ters Dubleks,Başiskele Kullar Tepecik Mah. Site İçerisinde Satılık 3+1,standard,1,0,0,0,1,detail,0,,1318370905
Ara Kat,BAŞİSKELE KULLARDA 2+1 ARA KAT FIRSAT DAİREMİZ,none,0,0,0,0,0,none,0,,1309819020
,Altın Vadi Sitesi Satılık,none,0,0,0,0,0,none,0,,1312409285
,BAŞİSKELE YAYLACIKTA 2+1 SATILIK GİRİŞ KAT DAİRE,none,0,0,0,0,0,none,0,,1323766198
Çatı Dubleksi,BAŞİSKELE DE YARISI PEŞİN YARISI DA DAİRE TESLİMİNDE SATILIK,roof,1,1,0,0,0,detail,0,,1304609704
Ara Kat,Başiskele'de 2+1 Deniz Manzaralı Arakat Amerikan Mutfak,none,0,0,0,0,0,none,0,,1318526663
,SATILIK YAYLACIK CADDE ÜZERİNDE 2+1 ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1312476827
Çatı Dubleksi,BAŞİSKELE'DE BARBAROS MAH'DE SATILIK DENİZ MANZARALI 3+1 DAİRE,roof,1,1,0,0,0,detail,0,,1301391493
Ara Kat,BU GENİŞLİKTE YOK ! 2+1 ARA KAT DAİRE KULLAR YAKACIK,none,0,0,0,0,0,none,0,,1308755900
Dubleks|Ara Kat Dubleks|Ters Dubleks,Armağan Evler Sitesinde-Asansörlü-Otoparklı-Ebeveyn Banyolu-4+1,middle_floor,1,0,0,1,0,detail,0,,1284605717
