feature,group,basiskele_positive_count,basiskele_negative_count,basiskele_effect,global_effect,smoothed_effect,abs_effect,direction,reliability_level
near_school,nearby,536,,-0.004785563724410711,-0.006332659584474598,-0.004785563724410711,0.004785563724410711,discount,county
transport_score,transport,569,,-0.004061484025647229,-0.005387267378887728,-0.004061484025647229,0.004061484025647229,discount,county
near_university,nearby,257,,0.0037223955213056222,0.003374039985807542,0.0037223955213056222,0.0037223955213056222,premium,county
transport_tem,transport,51,,0.003607772488095741,0.011831175560097051,0.003607772488095741,0.003607772488095741,premium,county
near_hospital,nearby,501,,0.0034414222028631997,-5.3020421799665485e-05,0.0034414222028631997,0.0034414222028631997,premium,county
near_mosque,nearby,518,,-0.00289874212272999,-0.005455397389445338,-0.00289874212272999,0.00289874212272999,discount,county
in_pantry,inside,51,,-0.00203062403241918,0.008964810321842265,-0.00203062403241918,0.00203062403241918,discount,county
view_sea,view,171,,0.0015872407052661204,0.011100878510272416,0.0015872407052661204,0.0015872407052661204,premium,county
near_market,nearby,553,,-0.001316254847007187,-0.0008441725344159323,-0.001316254847007187,0.001316254847007187,discount,county
transport_main_road,transport,445,,-0.0012798881545508301,-0.0005763391864395118,-0.0012798881545508301,0.0012798881545508301,discount,county
transport_minibus,transport,425,,-0.0005361545764230868,-0.0028417244162195487,-0.0005361545764230868,0.0005361545764230868,discount,county
