raw_folded,canonical_id
gun isigi sitesi,gun_isigi
gundogdu bayindirlik konutlari 6. ada huzur sitesi,gundogdu_bayindirlik_konutlari_6_ada_huzur
gundogdu dorukkent1 sitesi,gundogdu_dorukkent1
gundogdu havuzlu asansorlu site,gundogdu_havuzlu_asansorlu
guney park cayirkoy,guney_park_cayirkoy
hanife sultan sitesi,hanife_sultan
hanzade evleri,hanzade
hanzade palace sitesi,hanzade_palace
hasanpasa butik site,hasanpasa_butik
hasanpasa mahallesinde butik site,hasanpasa_mahallesinde_butik
hasdayi sitesi,hasdayi
hatipoglu sitesi,hatipoglu
helin sitesi,helin
hetas konaklari sitesi,hetas_konaklari
hisar evleri,hisar
hisareynde site,hisareynde
humeyra park evleri,humeyra_park
humeyra park evleri sitesi,humeyra_park
hursoy behcelievler sitesi,hursoy_behcelievler
hursoy nefes kartepe sitesi,hursoy_nefes_kartepe
hursoy sapphire,hursoy_sapphire
hursoy sitesi atakent 1,hursoy_sitesi_atakent_1
huzur sitesi,huzur
ihsaniye'de site,ihsaniye_de
ilica evleri 3,ilica_evleri_3
inci evleri,inci
inci sitesi,inci
innovia terrace,innovia_terrace
invest global'den yesilova alfa rezidans,invest_global_den_yesilova_alfa
invest globalden zeray kent,invest_globalden_zeray_kent
iremkent sitesi,iremkent
isil sitesi,isil
iskar elit kent,iskar_elit_kent
iz tepe sitesi,iz_tepe
izmit akcakoca konutlari,akcakoca
izmit arizli toki konutlari,arizli_toki
izmit gundogdu eren life,gundogdu_eren_life
izmit gundogdu kalici konutlari,gundogdu_kalici
izmit gundogduda satilik site,gundogduda
izmit kabaoglu satilik havuzlu site,kabaoglu_havuzlu
izmit kabaoglu site,kabaoglu
izmit karabas mah. kent,karabas_mah_kent
izmit karpay rezidans,karpay
izmit kavanium sit,izmit_kavanium_sit
izmit kavanium sitesi,izmit_kavanium_sitesi
izmit kavanya gol projesi,kavanya_gol
izmit kavanya koru sitesi,izmit_kavanya_koru_sitesi
izmit kent,kent
izmit kent konutlari 2. etap,kent_konutlari_2
izmit kent konutlari 3. etap,kent_konutlari_3
izmit kurucesme deniz manzarali site,kurucesme_deniz_manzarali
izmit kurucesme site,kurucesme
izmit kurucesmenin ustu site,kurucesmenin_ustu
izmit merkez kent,kent
izmit plaj yolu sea life,plaj_yolu_sea_life
izmit plajyolu harika konum'da site,plajyolu_harika_konum_da
izmit plajyolu sea life,plajyolu_sea_life
izmit plajyolunda site,plajyolunda
izmit sea life 41 sitesi,sea_life_41
izmit sehir hastanesi karsisi sarkent evleri,sehir_hastanesi_karsisi_sarkent
izmit sepetci toki konutlari,sepetci_toki
izmit tavsantepe toki konutlari,tavsantepe_toki
izmit tepekoy'de butik site,tepekoy_de_butik
izmit truva rezidans,truva
izmit umuttepe yolu uzeri kaboglu mevki site,umuttepe_yolu_uzeri_kaboglu_mevki
izmit umuttepe yolu uzeri site,umuttepe_yolu_uzeri
izmit yesilova liva park,yesilova_liva_park
izmit yuvam akarca konutlari,yuvam_akarca
izmit'te akcakent sitesi,izmit_te_akcakent
izmitkent konutlari 2 sitesi,izmitkent_konutlari_2
izmitkent konutlari 2. etap,izmitkent_konutlari_2
izmitkent konutlari 3. etap,izmitkent_konutlari_3
izmitkent konutlari 5. etap,izmitkent_konutlari_5
iztop park evleri,iztop_park
iztop park evleri 831 ada,iztop_park_evleri_831_ada
jasmin country,jasmin_country
jasmine country,jasmine_country
jasmine country sitesi,jasmine_country
k. h. eksioglu insaat limited sirketi,k_h_eksioglu_insaat_limited_sirketi
kabaoglunda site,kabaoglunda
kafkas dostluk konutlari,kafkas_dostluk
kamelya sitesi,kamelya
karamursel aydin sitesi,karamursel_aydin
karamursel merkez konutlari,karamursel
karamursel park,karamursel_park
karamursel pinarbasi sit,karamursel_pinarbasi
karcity,karcity
kardelen sitesi,kardelen
kardesten kayacik'ta site,kardesten_kayacik_ta
kartanesi sitesi,kartanesi
kartepe aslanbey vera life sitesi,kartepe_aslanbey_vera_life
kartepe aslanbey veralife sitesi,kartepe_aslanbey_veralife
kartepe ataevler hursoy city,kartepe_ataevler_hursoy_city
kartepe ataevler mahallesinde site,kartepe_ataevler_mahallesinde
kartepe atakent konutlari,kartepe_atakent
kartepe cadde life sitesi,kartepe_cadde_life
kartepe dumlupinar ritim naz residence,kartepe_dumlupinar_ritim_naz
kartepe elizan evleri,kartepe_elizan
kartepe ertugrulgazi havz hmm saunli site,kartepe_ertugrulgazi_havz_hmm_saunli
kartepe fatih sultan mehmet mh havuzlu site,kartepe_fatih_sultan_mehmet_mh_havuzlu
kartepe fsm bahcesehir koleji yakini gulas sitesi,kartepe_fsm_bahcesehir_koleji_yakini_gulas
kartepe fsm de havuzlu guvenlikli site,kartepe_fsm_de_havuzlu_guvenlikli
kartepe fsm kent,kartepe_fsm_kent
kartepe fsm mah de site,kartepe_fsm_de
kartepe fsm'de site,kartepe_fsm_de
kartepe fsm.mah site,kartepe_fsm_mah
kartepe ibrikdere satilik butik site,kartepe_ibrikdere_butik
kartepe kent,kartepe_kent
kartepe kent merkezinde site,kartepe_kent_merkezinde
kartepe kent meydaninda site,kartepe_kent_meydaninda
kartepe konaklari,kartepe_konaklari
kartepe konutlari 2. etap,kartepe_konutlari_2
kartepe meridyen,kartepe_meridyen
kartepe premium sitesi,kartepe_premium
kartepe serender park,kartepe_serender_park
kartepe site,kartepe
kartepe stone suite,kartepe_stone_suite
kartepe'de havuzlu site,kartepe_de_havuzlu
kartepe'de manzarali site,kartepe_de_manzarali
kartepe'de site,kartepe_de
kavan life evleri,kavan_life
kavan life gundogdu,kavan_life_gundogdu
kavan try,kavan_try
kavanium,kavanium
kavanium 2. etap,kavanium_2
kavanium 832 ada,kavanium_832_ada
kavanium 833 ada,kavanium_833_ada
kavanium bagcesme,kavanium_bagcesme
kavanium izmit evleri 815 ada,kavanium_evleri_815_ada
kavanium izmit evleri 819 ada,kavanium_evleri_819_ada
kavanya koru,kavanya_koru
kavanya koru sitesi,kavanya_koru_sitesi
kavanyum bagcesme sitesi,kavanyum_bagcesme
kaymakamlik belediye yani tower residence,kaymakamlik_belediye_yani_tower
kent konut tuana evleri,kent_tuana
kent meydaninda 1.99 krediyle site,kent_meydaninda_1_99_krediyle
kentsa sitesi,kentsa
kiptas cinar evleri,kiptas_cinar
kirazli kent sitesi,kirazli_kent
kocaeli basiskele seyri vadi sitesi,seyri_vadi
kocaeli izmit cayirkoy premiumda site,cayirkoy_premiumda
kocaeli kartele site,kartele
kocaeli kartepe ataevler site,kartepe_ataevler
kocaeli kartepe kent,kartepe_kent
kocaeli kartepe kosekoy site,kartepe_kosekoy
kocaeli yesilyurt site,yesilyurt
kolayli 1 sitesi,kolayli_1
kolayli 2 sitesi,kolayli_2
kolayli 4 sitesi,kolayli_4
kolayli karsiyaka sitesi,kolayli_karsiyaka
kolayli kullar sitesi,kolayli_kullar
kolayli sitesi,kolayli
konak evleri,konak
konut kredili dusuk faiz yuksek konforlu site,kredili_dusuk_faiz_yuksek_konforlu
kore evleri sitesi,kore
korhandan kent,korhandan_kent
kovuk cinar sitesi,kovuk_cinar
krediye eminevime uygun butik site,krediye_eminevime_uygun_butik
kuba sitesi,kuba
kucuk yali evleri sitesi,kucuk_yali
kucukyali evleri,kucukyali
kullar site,kullar
kurtulus sitesi,kurtulus
kurucesme deniz manzarali site,kurucesme_deniz_manzarali
kurucesme doktorlar sitesi,kurucesme_doktorlar
kurucesme fatih mahallesi site,kurucesme_fatih_mahallesi
kurucesme oluklu sitesi,kurucesme_oluklu
kurucesmede site,kurucesmede
kvs royal residence,kvs_royal
kw arven'den hisareyn'de havuzlu site,kw_arven_den_hisareyn_de_havuzlu
kw arven'den ted kolejine komsu havuzlu site,kw_arven_den_ted_kolejine_komsu_havuzlu
la vida park evleri,la_vida_park
lavinya park evleri,lavinya_park
lilyum park 2 evleri,lilyum_park_2
lilyum park 3,lilyum_park_3
lilyum park 4 evleri,lilyum_park_4
liya residence,liya
loca bagcesme sitesi,loca_bagcesme
loca torunoglu sitesi,loca_torunoglu
lotus evleri,lotus
lotus mahza,lotus_mahza
luxury sea suit,luxury_sea_suit
mahal kartepe,mahal_kartepe
mahall yuvacik 2,mahall_yuvacik_2
maide evleri,maide
mamik life sitesi,mamik_life
mamik reform,mamik_reform
mamikler sitesi,mamikler
manar terrace,manar_terrace
manar yuvacik,manar_yuvacik
manar yuvacik 2,manar_yuvacik_2
manar yuvacik 3,manar_yuvacik_3
manaryuvacik sitesi,manaryuvacik
manzara evleri,manzara
manzara izmit evleri,manzara
marmara 34 sitesi,marmara_34
marmara elit evleri sitesi,marmara_elit
marmara elit yapi kooperatifi,marmara_elit_yapi_kooperatifi
masal evleri sitesi,masal
masiva kozluk,masiva_kozluk
masiva kozluk projesi,masiva_kozluk
mavi - yesil park,mavi_yesil_park
mavi sehir,mavi_sehir
may city sitesi,may_city
may kent 2 sitesi,may_kent_2
maykon smart plus evleri,maykon_smart_plus
mega residence,mega
megatron azize evleri,megatron_azize
mehmet akif ersoy sitesi,mehmet_akif_ersoy
melisa sitesi,melisa
meltem sitesi,meltem
memur-sen sitesi,memur_sen
menekse park evleri,menekse_park
menekse yasamkent sitesi,menekse_yasamkent
mercan bagkent sitesi,mercan_bagkent
mercan konutlari,mercan
merdoglu sitesi,merdoglu
meric sitesi,meric
meridyen elite sitesi,meridyen_elite
merkezde essiz bir proje,merkezde_essiz_bir
merkezi konum havuzlu ve asansorlu site,merkezi_konum_havuzlu_ve_asansorlu
merkezkent sitesi,merkezkent
metropolitan grey effect,metropolitan_grey_effect
mezire,ustgrup_mezire
mihrimah sitesi,mihrimah
mimkon yasam sitesi,mimkon_yasam
mimoza evleri,mimoza
mira evleri,mira
mk elegance sitesi,mk_elegance
