canonical_id,raw_variants,n_variants,total_count,median_unit_price_by_variant,max_variant_price_gap,warning,county
basiskele::kullar_yakacik_ta_kacirilmayacak_butik,basiskele kullar yakacik'ta kacirilmayacak butik site,1,1,"{""basiskele kullar yakacik'ta kacirilmayacak butik site"": 44285.71}",0.0,,basiskele
basiskele::kuba,kuba sitesi,1,1,"{""kuba sitesi"": 28461.54}",0.0,,basiskele
basiskele::kucuk_yali,kucuk yali evleri sitesi,1,1,"{""kucuk yali evleri sitesi"": 45145.63}",0.0,,basiskele
basiskele::aydinkent_kalici_konutlari_19_ada,aydinkent kalici konutlari 19 ada,1,1,"{""aydinkent kalici konutlari 19 ada"": 30454.55}",0.0,,basiskele
basiskele::barbaros_mah,basiskele barbaros mah. site,1,1,"{""basiskele barbaros mah. site"": 30962.34}",0.0,,basiskele
basiskele::yuvacikta,basiskele yuvacikta site,1,1,"{""basiskele yuvacikta site"": 57500.0}",0.0,,basiskele
basiskele::cb_mahall_den_tinaztepede,cb mahall'den tinaztepede site,1,1,"{""cb mahall'den tinaztepede site"": 31750.0}",0.0,,basiskele
basiskele::merkezde_essiz_bir,merkezde essiz bir proje,1,1,"{""merkezde essiz bir proje"": 56666.67}",0.0,,basiskele
basiskele::pasadag_100_yil_parla,basiskele pasadag 100. yil parla sit,1,1,"{""basiskele pasadag 100. yil parla sit"": 50000.0}",0.0,,basiskele
golcuk::golcuk_ihsaniye_balaban_yasam,golcuk ihsaniye balaban yasam sitesi,1,1,"{""golcuk ihsaniye balaban yasam sitesi"": 45112.78}",0.0,,golcuk
golcuk::flora,flora sitesi,1,1,"{""flora sitesi"": 44333.33}",0.0,,golcuk
golcuk::full_tadilatli_17000tl_kiracili,full tadilatli 17000tl kiracili site,1,1,"{""full tadilatli 17000tl kiracili site"": 22307.69}",0.0,,golcuk
golcuk::emek,emek sitesi,1,1,"{""emek sitesi"": 27314.81}",0.0,,golcuk
golcuk::versay_yamac_evler,versay yamac evler sitesi,1,2,"{""versay yamac evler sitesi"": 34241.495}",0.0,,golcuk
golcuk::yildirim,yildirim sitesi,1,1,"{""yildirim sitesi"": 27586.21}",0.0,,golcuk
golcuk::bogazici_3,bogazici 3. etap sitesi,1,1,"{""bogazici 3. etap sitesi"": 30967.74}",0.0,,golcuk
golcuk::hisar,hisar evleri,1,1,"{""hisar evleri"": 42000.0}",0.0,,golcuk
golcuk::doga,doga sitesi,1,2,"{""doga sitesi"": 31298.465}",0.0,,golcuk
golcuk::sivritepe_denizevler_toki,sivritepe denizevler toki konutlari,1,1,"{""sivritepe denizevler toki konutlari"": 40000.0}",0.0,,golcuk
golcuk::yildizevler,yildizevler sitesi,1,1,"{""yildizevler sitesi"": 26041.67}",0.0,,golcuk
golcuk::sirinkoy_kalici_konutlari_4_ada,sirinkoy kalici konutlari 4. ada,1,1,"{""sirinkoy kalici konutlari 4. ada"": 33222.22}",0.0,,golcuk
kartepe::karcity,karcity,1,6,"{""karcity"": 53461.54}",0.0,,kartepe
kartepe::hursoy_nefes_kartepe,hursoy nefes kartepe sitesi,1,2,"{""hursoy nefes kartepe sitesi"": 62726.815}",0.0,,kartepe
kartepe::kartepe_fsm_de_havuzlu_guvenlikli,kartepe fsm de havuzlu guvenlikli site,1,1,"{""kartepe fsm de havuzlu guvenlikli site"": 37321.43}",0.0,,kartepe
kartepe::sudeks_dorukkent_sitesi_1,sudeks dorukkent sitesi 1,1,4,"{""sudeks dorukkent sitesi 1"": 34930.555}",0.0,,kartepe
kartepe::mahal_kartepe,mahal kartepe,1,17,"{""mahal kartepe"": 52153.11}",0.0,,kartepe
kartepe::kartepe_konaklari,kartepe konaklari,1,6,"{""kartepe konaklari"": 31009.614999999998}",0.0,,kartepe
kartepe::forum_anatolia,forum anatolia,1,12,"{""forum anatolia"": 34704.965}",0.0,,kartepe
kartepe::guldeste_sitesi_2,guldeste sitesi 2,1,1,"{""guldeste sitesi 2"": 30588.24}",0.0,,kartepe
kartepe::mona_vadi,mona vadi,1,2,"{""mona vadi"": 32202.54}",0.0,,kartepe
kartepe::beykoz_evleri_1,beykoz evleri 1,1,7,"{""beykoz evleri 1"": 32100.0}",0.0,,kartepe
kartepe::meltem,meltem sitesi,1,1,"{""meltem sitesi"": 35769.23}",0.0,,kartepe
kartepe::green_life_1,green life 1,1,1,"{""green life 1"": 54814.81}",0.0,,kartepe
kartepe::zeray_effect_kartepe,zeray effect kartepe,1,4,"{""zeray effect kartepe"": 48863.634999999995}",0.0,,kartepe
kartepe::mercan,mercan konutlari,1,2,"{""mercan konutlari"": 40416.665}",0.0,,kartepe
kartepe::kartepe_fsm_de,kartepe fsm mah de site | kartepe fsm'de site,2,3,"{""kartepe fsm mah de site"": 50952.38, ""kartepe fsm'de site"": 37451.295}",13501.085,possible_bad_merge,kartepe
kartepe::sehri_elizan_evleri_2,sehri elizan evleri 2,1,1,"{""sehri elizan evleri 2"": 42777.78}",0.0,,kartepe
