county,feature,group,positive_count,negative_count,local_effect,global_effect,smoothed_effect,reliability_level
Gölcük,near_pharmacy,nearby,274,,-0.023531097841655222,-0.0013425592598252933,-0.023531097841655222,county
Karamürsel,near_pharmacy,nearby,93,,-0.021615137875854177,-0.0013425592598252933,-0.021615137875854177,county
İzmit,near_pharmacy,nearby,800,,0.004763274227971358,-0.0013425592598252933,0.004763274227971358,county
Başiskele,near_school,nearby,574,,-0.010163067205427983,-0.008302946969199532,-0.010163067205427983,county
Gölcük,near_school,nearby,331,,-0.02487122412435277,-0.008302946969199532,-0.02487122412435277,county
Karamürsel,near_school,nearby,114,,-0.04021690386210705,-0.008302946969199532,-0.04021690386210705,county
İzmit,near_school,nearby,897,,0.004585279026045192,-0.008302946969199532,0.004585279026045192,county
Başiskele,near_sea_zero,nearby,19,,0.05454628830157353,0.07066150163291152,0.05454628830157353,global_fallback
Gölcük,near_sea_zero,nearby,43,,0.06395130664427646,0.07066150163291152,0.06395130664427646,county
Karamürsel,near_sea_zero,nearby,17,,0.07378025733792866,0.07066150163291152,0.07378025733792866,global_fallback
İzmit,near_sea_zero,nearby,30,,0.08498603846641395,0.07066150163291152,0.08498603846641395,county
Başiskele,near_university,nearby,280,,0.008839877906117084,0.005232656431589433,0.008839877906117084,county
Gölcük,near_university,nearby,74,,-0.023227708396799718,0.005232656431589433,-0.023227708396799718,county
Karamürsel,near_university,nearby,30,,-0.022478257914674282,0.005232656431589433,-0.022478257914674282,county
İzmit,near_university,nearby,508,,0.015434586795513712,0.005232656431589433,0.015434586795513712,county
Başiskele,out_camera,outside,256,,0.046698914259102026,0.07134238718146246,0.046698914259102026,county
Gölcük,out_camera,outside,72,,0.06356038334663326,0.07134238718146246,0.06356038334663326,county
Karamürsel,out_camera,outside,14,,0.07526124319512434,0.07134238718146246,0.07526124319512434,global_fallback
İzmit,out_camera,outside,390,,0.08475857404062513,0.07134238718146246,0.08475857404062513,county
Başiskele,out_children_playground,outside,237,,0.021122203743311186,0.033836698636024565,0.021122203743311186,county
Gölcük,out_children_playground,outside,59,,0.04253387834543214,0.033836698636024565,0.04253387834543214,county
Karamürsel,out_children_playground,outside,14,,0.042244102868122274,0.033836698636024565,0.042244102868122274,global_fallback
İzmit,out_children_playground,outside,368,,0.044667708279822416,0.033836698636024565,0.044667708279822416,county
Başiskele,out_closed_pool,outside,39,,0.1586402060024582,0.13212224212968326,0.1586402060024582,county
Gölcük,out_closed_pool,outside,2,,0.13212224212968326,0.13212224212968326,0.13212224212968326,global_fallback
Karamürsel,out_closed_pool,outside,0,,0.13212224212968326,0.13212224212968326,0.13212224212968326,global_fallback
İzmit,out_closed_pool,outside,28,,0.08508484995206138,0.13212224212968326,0.08508484995206138,global_fallback
Başiskele,out_generator,outside,23,,0.11135862150442695,0.11660980361842466,0.11135862150442695,global_fallback
Gölcük,out_generator,outside,1,,0.11660980361842466,0.11660980361842466,0.11660980361842466,global_fallback
Karamürsel,out_generator,outside,3,,0.1198534498567175,0.11660980361842466,0.1198534498567175,global_fallback
İzmit,out_generator,outside,71,,0.1160501580463886,0.11660980361842466,0.1160501580463886,county
Başiskele,out_heat_insulation,outside,471,,0.018167918345976197,0.017093544714584574,0.018167918345976197,county
Gölcük,out_heat_insulation,outside,222,,0.013501549496740293,0.017093544714584574,0.013501549496740293,county
Karamürsel,out_heat_insulation,outside,73,,0.0006825127392418844,0.017093544714584574,0.0006825127392418844,county
İzmit,out_heat_insulation,outside,647,,0.024861837815539935,0.017093544714584574,0.024861837815539935,county
Başiskele,out_hydrofor,outside,30,,0.019047451032736973,0.03751712517129491,0.019047451032736973,county
Gölcük,out_hydrofor,outside,9,,0.05238508069213138,0.03751712517129491,0.05238508069213138,global_fallback
Karamürsel,out_hydrofor,outside,4,,0.043253414042997665,0.03751712517129491,0.043253414042997665,global_fallback
İzmit,out_hydrofor,outside,99,,0.04786856130887453,0.03751712517129491,0.04786856130887453,county
Başiskele,out_open_pool,outside,171,,0.11251085357399837,0.11474169267256418,0.11251085357399837,county
Gölcük,out_open_pool,outside,21,,0.14796776140672102,0.11474169267256418,0.14796776140672102,global_fallback
Karamürsel,out_open_pool,outside,9,,0.11270637740437281,0.11474169267256418,0.11270637740437281,global_fallback
İzmit,out_open_pool,outside,134,,0.11081458022314772,0.11474169267256418,0.11081458022314772,county
Başiskele,out_pool,outside,180,,0.10915099637390623,0.10764347008663933,0.10915099637390623,county
Gölcük,out_pool,outside,23,,0.13748664096679922,0.10764347008663933,0.13748664096679922,global_fallback
Karamürsel,out_pool,outside,9,,0.10669093453494496,0.10764347008663933,0.10669093453494496,global_fallback
İzmit,out_pool,outside,157,,0.10504225228059548,0.10764347008663933,0.10504225228059548,county
Başiskele,out_sauna_hamam,outside,66,,0.12784455723619328,0.12015102440843162,0.12784455723619328,county
Gölcük,out_sauna_hamam,outside,3,,0.13366111388412455,0.12015102440843162,0.13366111388412455,global_fallback
Karamürsel,out_sauna_hamam,outside,0,,0.12015102440843162,0.12015102440843162,0.12015102440843162,global_fallback
İzmit,out_sauna_hamam,outside,43,,0.09864007668012817,0.12015102440843162,0.09864007668012817,county
Başiskele,out_security,outside,205,,0.08551632685256667,0.09048858624866529,0.08551632685256667,county
Gölcük,out_security,outside,28,,0.1067869526348254,0.09048858624866529,0.1067869526348254,global_fallback
Karamürsel,out_security,outside,10,,0.08630424151040132,0.09048858624866529,0.08630424151040132,global_fallback
İzmit,out_security,outside,248,,0.09624716892597554,0.09048858624866529,0.09624716892597554,county
Başiskele,out_sound_insulation,outside,368,,0.018522814147289186,0.021195140793113687,0.018522814147289186,county
Gölcük,out_sound_insulation,outside,112,,0.029629920103345288,0.021195140793113687,0.029629920103345288,county
Karamürsel,out_sound_insulation,outside,34,,0.04554841650921875,0.021195140793113687,0.04554841650921875,county
İzmit,out_sound_insulation,outside,423,,0.022256654507946436,0.021195140793113687,0.022256654507946436,county
Başiskele,out_sports_area,outside,147,,0.0752628793388406,0.07508231123223474,0.0752628793388406,county
Gölcük,out_sports_area,outside,31,,0.05454080115443021,0.07508231123223474,0.05454080115443021,county
Karamürsel,out_sports_area,outside,7,,0.06341457439121871,0.07508231123223474,0.06341457439121871,global_fallback
İzmit,out_sports_area,outside,198,,0.08934260902223469,0.07508231123223474,0.08934260902223469,county
Başiskele,subtype_duplex,subtype,178,,-0.08050522975682389,-0.06181272235622792,-0.08050522975682389,county
Gölcük,subtype_duplex,subtype,55,,-0.01988180306742765,-0.06181272235622792,-0.01988180306742765,county
Karamürsel,subtype_duplex,subtype,13,,-0.046908111517634195,-0.06181272235622792,-0.046908111517634195,global_fallback
İzmit,subtype_duplex,subtype,120,,-0.07193012868291307,-0.06181272235622792,-0.07193012868291307,county
Başiskele,subtype_garden_duplex,subtype,47,,-0.05393357248375284,-0.028008450108699456,-0.05393357248375284,county
Gölcük,subtype_garden_duplex,subtype,12,,0.0007117707990751121,-0.028008450108699456,0.0007117707990751121,global_fallback
Karamürsel,subtype_garden_duplex,subtype,7,,-0.022931819348285858,-0.028008450108699456,-0.022931819348285858,global_fallback
İzmit,subtype_garden_duplex,subtype,30,,-0.03336822065355205,-0.028008450108699456,-0.03336822065355205,county
Başiskele,subtype_middle_floor,subtype,368,,0.056915562529255,0.05068008726540807,0.056915562529255,county
Gölcük,subtype_middle_floor,subtype,232,,0.013944663238829143,0.05068008726540807,0.013944663238829143,county
Karamürsel,subtype_middle_floor,subtype,102,,0.05550279803097327,0.05068008726540807,0.05550279803097327,county
İzmit,subtype_middle_floor,subtype,662,,0.06042816306368165,0.05068008726540807,0.06042816306368165,county
Başiskele,subtype_reverse_duplex,subtype,10,,-0.005854078957218641,-0.0049972467084939964,-0.005854078957218641,global_fallback
Gölcük,subtype_reverse_duplex,subtype,4,,0.004984029447102888,-0.0049972467084939964,0.004984029447102888,global_fallback
Karamürsel,subtype_reverse_duplex,subtype,1,,-0.0049972467084939964,-0.0049972467084939964,-0.0049972467084939964,global_fallback
İzmit,subtype_reverse_duplex,subtype,7,,-0.0019472091922213223,-0.0049972467084939964,-0.0019472091922213223,global_fallback
Başiskele,subtype_roof_duplex,subtype,100,,-0.0828492765004647,-0.07566372953207079,-0.0828492765004647,county
Gölcük,subtype_roof_duplex,subtype,31,,-0.03972633121111524,-0.07566372953207079,-0.03972633121111524,county
Karamürsel,subtype_roof_duplex,subtype,2,,-0.07566372953207079,-0.07566372953207079,-0.07566372953207079,global_fallback
İzmit,subtype_roof_duplex,subtype,65,,-0.10158482700111356,-0.07566372953207079,-0.10158482700111356,county
Başiskele,subtype_top_floor,subtype,59,,0.018795930673645773,-0.03336274252530469,0.018795930673645773,county
Gölcük,subtype_top_floor,subtype,70,,-0.02557999135225823,-0.03336274252530469,-0.02557999135225823,county
Karamürsel,subtype_top_floor,subtype,22,,-0.06547067205470714,-0.03336274252530469,-0.06547067205470714,global_fallback
İzmit,subtype_top_floor,subtype,126,,-0.055562376282025816,-0.03336274252530469,-0.055562376282025816,county
Başiskele,subtype_triplex,subtype,0,,-0.07987549981896791,-0.07987549981896791,-0.07987549981896791,global_fallback
Gölcük,subtype_triplex,subtype,5,,-0.07971729337214435,-0.07987549981896791,-0.07971729337214435,global_fallback
Karamürsel,subtype_triplex,subtype,0,,-0.07987549981896791,-0.07987549981896791,-0.07987549981896791,global_fallback
İzmit,subtype_triplex,subtype,2,,-0.07987549981896791,-0.07987549981896791,-0.07987549981896791,global_fallback
Başiskele,transport_airport,transport,18,,0.012569570923026581,0.021753352966067396,0.012569570923026581,global_fallback
Gölcük,transport_airport,transport,4,,0.025182713535483344,0.021753352966067396,0.025182713535483344,global_fallback
Karamürsel,transport_airport,transport,1,,0.021753352966067396,0.021753352966067396,0.021753352966067396,global_fallback
İzmit,transport_airport,transport,38,,0.03200052004877242,0.021753352966067396,0.03200052004877242,county
Başiskele,transport_bus_stop,transport,521,,-0.017515530832086634,-0.011370543831887403,-0.017515530832086634,county
Gölcük,transport_bus_stop,transport,276,,-0.012284207965054937,-0.011370543831887403,-0.012284207965054937,county
Karamürsel,transport_bus_stop,transport,104,,-0.022565090483043424,-0.011370543831887403,-0.022565090483043424,county
İzmit,transport_bus_stop,transport,852,,-0.0015089789115639456,-0.011370543831887403,-0.0015089789115639456,county
Başiskele,transport_e5,transport,218,,-0.015654643668636854,0.005849521106569888,-0.015654643668636854,county
Gölcük,transport_e5,transport,113,,-0.011865253368595695,0.005849521106569888,-0.011865253368595695,county
Karamürsel,transport_e5,transport,39,,0.009427086586215959,0.005849521106569888,0.009427086586215959,county
İzmit,transport_e5,transport,475,,0.01845061617966113,0.005849521106569888,0.01845061617966113,county
Başiskele,transport_main_road,transport,473,,-0.005339518573865145,-0.0031977165934993224,-0.005339518573865145,county
Gölcük,transport_main_road,transport,271,,-0.019797761414448976,-0.0031977165934993224,-0.019797761414448976,county
Karamürsel,transport_main_road,transport,121,,-0.02910309962676852,-0.0031977165934993224,-0.02910309962676852,county
İzmit,transport_main_road,transport,779,,0.005229201323434586,-0.0031977165934993224,0.005229201323434586,county
Başiskele,transport_metro,transport,24,,-0.03078657740114427,-0.027807552112033562,-0.03078657740114427,global_fallback
Gölcük,transport_metro,transport,9,,-0.04004937133957788,-0.027807552112033562,-0.04004937133957788,global_fallback
Karamürsel,transport_metro,transport,2,,-0.027807552112033562,-0.027807552112033562,-0.027807552112033562,global_fallback
İzmit,transport_metro,transport,80,,-0.02235102970961314,-0.027807552112033562,-0.02235102970961314,county
Başiskele,transport_minibus,transport,456,,0.006093480096416555,-0.0021882407057844944,0.006093480096416555,county
Gölcük,transport_minibus,transport,318,,-0.01666980019291543,-0.0021882407057844944,-0.01666980019291543,county
Karamürsel,transport_minibus,transport,121,,-0.03862521800673519,-0.0021882407057844944,-0.03862521800673519,county
İzmit,transport_minibus,transport,798,,0.004105528539206884,-0.0021882407057844944,0.004105528539206884,county
Başiskele,transport_score,transport,611,,-0.008971333325147395,-0.007736764411380825,-0.008971333325147395,county
Gölcük,transport_score,transport,346,,-0.014748119981376127,-0.007736764411380825,-0.014748119981376127,county
Karamürsel,transport_score,transport,133,,-0.037209590452039476,-0.007736764411380825,-0.037209590452039476,county
İzmit,transport_score,transport,984,,0.0006572895373203446,-0.007736764411380825,0.0006572895373203446,county
Başiskele,transport_tem,transport,53,,0.0028468606468362743,0.012459322388735927,0.0028468606468362743,county
Gölcük,transport_tem,transport,18,,0.020379379202567376,0.012459322388735927,0.020379379202567376,global_fallback
Karamürsel,transport_tem,transport,3,,-0.0018061933480073029,0.012459322388735927,-0.0018061933480073029,global_fallback
İzmit,transport_tem,transport,218,,0.017569386976342114,0.012459322388735927,0.017569386976342114,county
Başiskele,transport_train,transport,20,,-0.0274472844702223,-0.025415681215825714,-0.0274472844702223,global_fallback
Gölcük,transport_train,transport,2,,-0.025415681215825714,-0.025415681215825714,-0.025415681215825714,global_fallback
Karamürsel,transport_train,transport,0,,-0.025415681215825714,-0.025415681215825714,-0.025415681215825714,global_fallback
İzmit,transport_train,transport,131,,-0.029685161014909145,-0.025415681215825714,-0.029685161014909145,county
Başiskele,transport_tram,transport,18,,-0.007911694555226537,0.013907973181077615,-0.007911694555226537,global_fallback
Gölcük,transport_tram,transport,2,,0.013907973181077615,0.013907973181077615,0.013907973181077615,global_fallback
Karamürsel,transport_tram,transport,0,,0.013907973181077615,0.013907973181077615,0.013907973181077615,global_fallback
İzmit,transport_tram,transport,435,,0.019608701407056006,0.013907973181077615,0.019608701407056006,county
