district,building_age_group,m2_group,n,mape,mae
Ereğli Mh.,11-15 arası,151-200,1,0.056465044741113905,2458.961789753477
4 Temmuz Mah.,26-30 arası,151-200,2,0.05040555812446511,1490.6933767162736
4 Temmuz Mah.,2,76-100,1,0.04782462037038113,1859.8464008755109
Ereğli Mh.,0 (Oturuma Hazır),200+,3,0.04549060074309306,1694.255243747294
Kayacık Mh.,1,0-75,3,0.044363683534812286,2196.694690134306
Ereğli Mh.,1,126-150,1,0.03934876665080848,1547.7180237692446
4 Temmuz Mah.,16-20 arası,151-200,1,0.03517407174025907,1500.070747951133
Kayacık Mh.,21-25 arası,101-125,1,0.03090949571302316,1159.1060892383684
Kayacık Mh.,0 (Yapım Aşamasında),76-100,1,0.0226870227162377,1205.2480818001277
Kayacık Mh.,6-10 arası,126-150,1,0.005274323039648845,228.5539808037065
4 Temmuz Mah.,4,101-125,1,0.002985972232962994,123.1713546097235
Tepeköy Mh.,21-25 arası,0-75,1,0.0009835136973761912,42.618923607922625
Ereğli Mh.,0 (Oturuma Hazır),151-200,1,0.0002362991294420984,10.633460824894428
