county,district,rows,matched_demo_rows,matched_county_demo_rows,avg_demo_coverage_score,match_rate,county_match_rate
İzmit,Kuruçeşme Fatih Mh.,26,26,26,0.875,1.0,1.0
İzmit,Körfez Mh.,20,20,20,0.875,1.0,1.0
İzmit,M. Alipaşa Mh.,36,36,36,0.875,1.0,1.0
İzmit,Malta Mah.,26,26,26,0.875,1.0,1.0
İzmit,Orhan Mah.,121,121,121,0.875,1.0,1.0
İzmit,Sanayi Mah.,6,6,6,0.875,1.0,1.0
İzmit,Sekbanlı Mh.,23,23,23,0.875,1.0,1.0
İzmit,Sepetçi Mh.,22,22,22,0.875,1.0,1.0
İzmit,Serdar Mah.,29,29,29,0.875,1.0,1.0
İzmit,Tavşantepe Mh.,11,11,11,0.875,1.0,1.0
İzmit,Tepecik Mah.,25,25,25,0.875,1.0,1.0
İzmit,Tepeköy Mh.,37,37,37,0.875,1.0,1.0
İzmit,Topçular Mh.,72,72,72,0.875,1.0,1.0
İzmit,Turgut Mah.,71,71,71,0.875,1.0,1.0
İzmit,Tüysüzler Mh.,25,25,25,0.875,1.0,1.0
İzmit,Veliahmet Mah.,34,34,34,0.875,1.0,1.0
İzmit,Yahyakaptan Mah.,73,73,73,0.875,1.0,1.0
İzmit,Yeni Mah.,87,87,87,0.875,1.0,1.0
İzmit,Yenidoğan Mh.,16,16,16,0.875,1.0,1.0
İzmit,Yenişehir Mh.,91,91,91,0.875,1.0,1.0
İzmit,Yeşilova Mh.,66,66,66,0.875,1.0,1.0
İzmit,Zabıtan Mh.,10,10,10,0.875,1.0,1.0
İzmit,Çayırköy Mh.,107,107,107,0.875,1.0,1.0
İzmit,Çukurbağ Mh.,28,28,28,0.875,1.0,1.0
İzmit,Ömerağa Mh.,26,26,26,0.875,1.0,1.0
İzmit,Şirintepe Mh.,68,68,68,0.875,1.0,1.0
