district,building_age_group,m2_group,n,mape,mae
Kayacık Mh.,26-30 arası,76-100,4,0.19937961695858195,7065.4839630886945
Kayacık Mh.,26-30 arası,101-125,3,0.1827770341324243,7901.956103745382
4 Temmuz Mah.,6-10 arası,76-100,3,0.18120725779292424,8592.877827260578
Kayacık Mh.,31 ve üzeri,101-125,11,0.18044139210220828,5347.937290014047
4 Temmuz Mah.,0 (Yapım Aşamasında),101-125,1,0.1730617284585736,8508.868892752296
4 Temmuz Mah.,1,76-100,3,0.16977752033880233,8359.745360824805
Ereğli Mh.,0 (Yapım Aşamasında),0-75,2,0.16023807443326984,7567.419764063012
4 Temmuz Mah.,31 ve üzeri,101-125,19,0.15140291302143605,3706.0084644745716
4 Temmuz Mah.,6-10 arası,126-150,8,0.14863808338886708,4636.122113297116
Kayacık Mh.,11-15 arası,101-125,5,0.14706436378438434,7648.070571526798
4 Temmuz Mah.,6-10 arası,101-125,7,0.1394372711341526,5142.42718495387
Kayacık Mh.,16-20 arası,101-125,3,0.13793503472102545,4640.204394927769
4 Temmuz Mah.,6-10 arası,200+,6,0.13662417658502848,4848.334118557337
4 Temmuz Mah.,3,76-100,2,0.1345672314870348,5640.854387157884
Kayacık Mh.,6-10 arası,101-125,4,0.13291736468495083,8271.806774230996
4 Temmuz Mah.,31 ve üzeri,76-100,14,0.13126738043747416,3762.8971418584792
Dereköy Mh.,11-15 arası,126-150,3,0.13083534106244046,4561.727321757302
Kayacık Mh.,31 ve üzeri,0-75,1,0.12703037068044998,5504.648972718263
4 Temmuz Mah.,26-30 arası,126-150,9,0.12679697537869428,2532.8010313675413
4 Temmuz Mah.,11-15 arası,101-125,5,0.12579992549019198,6256.709841292884
4 Temmuz Mah.,11-15 arası,76-100,6,0.12541154097204424,5938.619152455866
Kayacık Mh.,26-30 arası,151-200,1,0.12352956656334063,3705.886996900219
4 Temmuz Mah.,11-15 arası,126-150,3,0.1219325552734134,5219.539973911997
4 Temmuz Mah.,0 (Oturuma Hazır),151-200,2,0.12004627835359705,5438.064846597907
4 Temmuz Mah.,5,76-100,1,0.11858586062722795,5929.293031361398
Ereğli Mh.,11-15 arası,200+,1,0.11719238501885476,5363.805224176518
Dereköy Mh.,26-30 arası,151-200,1,0.11680110076438435,3442.712445030229
Kayacık Mh.,0 (Oturuma Hazır),101-125,3,0.11537380878646182,5295.567364684382
Kayacık Mh.,5,101-125,1,0.11320709660060697,5932.051861871805
4 Temmuz Mah.,31 ve üzeri,151-200,3,0.11169480753350321,2773.8070878847175
4 Temmuz Mah.,0 (Oturuma Hazır),76-100,3,0.11052955828665267,6789.766094898172
Kayacık Mh.,0 (Oturuma Hazır),126-150,7,0.10888515207773794,6731.822930877725
4 Temmuz Mah.,11-15 arası,200+,3,0.10782512838662056,3204.603570691841
4 Temmuz Mah.,0 (Oturuma Hazır),101-125,7,0.10728580894391622,5540.226816212002
Kayacık Mh.,5,76-100,1,0.10603187566183707,4615.504988753128
4 Temmuz Mah.,26-30 arası,101-125,5,0.10579270137165239,3572.1193073682725
Kayacık Mh.,0 (Oturuma Hazır),0-75,6,0.10501671666607859,4908.0890257489145
4 Temmuz Mah.,2,151-200,1,0.10234056665260746,4637.306926446276
Kayacık Mh.,0 (Yapım Aşamasında),101-125,4,0.10140034218245128,4649.102998868111
Kayacık Mh.,21-25 arası,126-150,2,0.10031399460964509,3323.9604325904747
Tepeköy Mh.,21-25 arası,0-75,1,0.09891984724492497,4286.526384213925
Kayacık Mh.,11-15 arası,126-150,2,0.09876503191056067,3918.9057565765324
Kayacık Mh.,6-10 arası,151-200,4,0.09807199587877445,6343.535899540853
4 Temmuz Mah.,11-15 arası,151-200,6,0.09368638961562158,3725.7270602119097
Tepeköy Mh.,0 (Oturuma Hazır),76-100,2,0.09131054718238224,3772.9732683156326
Ereğli Mh.,0 (Yapım Aşamasında),76-100,5,0.08748826012371336,4535.583332490746
Kayacık Mh.,0 (Oturuma Hazır),76-100,5,0.08693165888364837,4392.9358139212445
Kayacık Mh.,0 (Oturuma Hazır),151-200,4,0.08659102333208575,6308.405678592979
Kayacık Mh.,11-15 arası,76-100,4,0.08543930071194764,3326.992078550302
Kayacık Mh.,26-30 arası,126-150,3,0.08413114022300998,3487.5753981751914
Ereğli Mh.,0 (Oturuma Hazır),76-100,6,0.08303887678435605,4056.436417511144
Kayacık Mh.,16-20 arası,200+,1,0.08049721297400161,2901.2539859286844
Ereğli Mh.,16-20 arası,126-150,1,0.06783080472110124,2426.2556551541566
Ereğli Mh.,26-30 arası,76-100,2,0.06661189762183545,3060.407194205789
Ereğli Mh.,11-15 arası,151-200,1,0.06442042981457603,2805.406001532785
4 Temmuz Mah.,2,76-100,1,0.0638295606635727,2482.260763394006
4 Temmuz Mah.,16-20 arası,151-200,1,0.05684356913379445,2424.21110346308
4 Temmuz Mah.,26-30 arası,151-200,2,0.055397948056470844,1637.4122749816906
Dereköy Mh.,6-10 arası,151-200,1,0.052112815479841194,1669.9483973854985
Kayacık Mh.,1,0-75,3,0.05001426775686139,2450.615445227571
4 Temmuz Mah.,0 (Yapım Aşamasında),76-100,2,0.049946306205351024,2680.1155539519787
Ereğli Mh.,1,126-150,1,0.04898408927392719,1926.7073481608386
4 Temmuz Mah.,0 (Yapım Aşamasında),0-75,2,0.04811006018023463,2405.5025405142405
Ereğli Mh.,0 (Oturuma Hazır),200+,3,0.044862363667554896,1690.9376778925046
Kayacık Mh.,4,76-100,1,0.04337346899388763,1983.542905722461
Ereğli Mh.,0 (Oturuma Hazır),151-200,1,0.03671402611364158,1652.131175113871
Kayacık Mh.,0 (Yapım Aşamasında),76-100,1,0.034223723587057664,1818.1353155624383
Dereköy Mh.,6-10 arası,126-150,2,0.02026089274425623,668.6636687584978
Ereğli Mh.,11-15 arası,101-125,1,0.01781080934627534,776.5512874976048
Kayacık Mh.,21-25 arası,101-125,1,0.01579860986665551,592.4478699995816
Kayacık Mh.,6-10 arası,126-150,1,0.011697400413745328,506.88731227096287
4 Temmuz Mah.,4,101-125,1,0.007260174796012915,299.4822103355327
