district,building_age_group,m2_group,n,mape,mae
4 Temmuz Mah.,1,76-100,3,0.1586513120031897,7796.720564678985
Avcıköy Mh.,21-25 arası,76-100,1,0.15842311624294364,8097.18132083588
4 Temmuz Mah.,6-10 arası,101-125,7,0.1544783684211233,5674.725303705405
Kayacık Mh.,6-10 arası,101-125,4,0.15386907864902127,9234.843921385467
Kayacık Mh.,16-20 arası,101-125,3,0.1531567330343432,5065.600151825045
4 Temmuz Mah.,6-10 arası,126-150,8,0.15227842778949718,4711.255989614945
4 Temmuz Mah.,31 ve üzeri,101-125,19,0.15184602106122658,3706.215085189804
Dereköy Mh.,11-15 arası,126-150,3,0.14505480687592176,4937.902375455668
Ereğli Mh.,0 (Yapım Aşamasında),0-75,2,0.14404089300167916,6779.241036176529
Kayacık Mh.,26-30 arası,151-200,1,0.14388392386787213,4316.517716036164
Kayacık Mh.,11-15 arası,101-125,5,0.1411194431032449,7489.9066707726215
4 Temmuz Mah.,6-10 arası,200+,6,0.1408606888341726,5010.206633991441
Dereköy Mh.,26-30 arası,151-200,1,0.139455455670732,4110.449555894826
4 Temmuz Mah.,31 ve üzeri,76-100,14,0.13343765799485285,3808.7190236882648
4 Temmuz Mah.,26-30 arası,126-150,9,0.13067188970533297,2610.5340381112637
4 Temmuz Mah.,11-15 arası,76-100,6,0.12924888819451555,6045.211954272866
4 Temmuz Mah.,11-15 arası,126-150,3,0.12811299791348313,5434.42238498776
4 Temmuz Mah.,3,76-100,2,0.12750348305968656,5349.676268187348
Kayacık Mh.,16-20 arası,200+,1,0.12529237274931365,4515.746352147755
Ereğli Mh.,11-15 arası,200+,1,0.12501554382139837,5721.865178736662
4 Temmuz Mah.,2,151-200,1,0.12089748873888402,5478.167458480682
4 Temmuz Mah.,11-15 arası,101-125,5,0.11763431891304407,5882.697917438406
4 Temmuz Mah.,31 ve üzeri,151-200,3,0.1164485399467156,2898.7388185862014
Kayacık Mh.,5,101-125,1,0.11641580053078604,6100.187947813189
4 Temmuz Mah.,11-15 arası,200+,3,0.11549625199660457,3449.042740857077
Kayacık Mh.,31 ve üzeri,0-75,1,0.11539816854801493,5000.5869190867525
4 Temmuz Mah.,0 (Oturuma Hazır),151-200,2,0.11482151259176263,5248.752992934078
Kayacık Mh.,11-15 arası,126-150,2,0.11431130074855957,4544.6611946935955
Kayacık Mh.,21-25 arası,126-150,2,0.11217855382443931,3820.588328788779
Kayacık Mh.,0 (Oturuma Hazır),101-125,3,0.10886851356023042,5119.79672628806
4 Temmuz Mah.,0 (Oturuma Hazır),76-100,3,0.10773158995221878,6558.674845533346
Kayacık Mh.,0 (Oturuma Hazır),0-75,6,0.10759879325141576,5069.376159000258
Kayacık Mh.,0 (Oturuma Hazır),126-150,7,0.10620144602497217,6755.653006465385
4 Temmuz Mah.,26-30 arası,101-125,5,0.10502336145410127,3543.152818175227
Kayacık Mh.,5,76-100,1,0.10169204468712989,4426.594706924399
4 Temmuz Mah.,5,76-100,1,0.09945657836815823,4972.828918407911
Kayacık Mh.,6-10 arası,151-200,4,0.0991486079746066,6368.186232953849
Kayacık Mh.,0 (Oturuma Hazır),76-100,5,0.09691210115508131,4940.679243250631
Kayacık Mh.,11-15 arası,76-100,4,0.09363199548142181,3653.354535488319
Dereköy Mh.,6-10 arası,151-200,1,0.093137145077198,2984.56770616995
Kayacık Mh.,0 (Yapım Aşamasında),101-125,4,0.09293826676401404,4290.7865860069505
4 Temmuz Mah.,11-15 arası,151-200,6,0.09201123952679097,3665.2502958753416
4 Temmuz Mah.,0 (Oturuma Hazır),101-125,7,0.08952538284257824,4648.540965822655
Kayacık Mh.,26-30 arası,126-150,3,0.08794965271906645,3634.363876899035
Kayacık Mh.,0 (Oturuma Hazır),151-200,4,0.08748452818611067,6425.714370773365
Ereğli Mh.,0 (Oturuma Hazır),76-100,6,0.08486685308767793,4126.423528056116
Ereğli Mh.,0 (Yapım Aşamasında),76-100,5,0.0835601097116869,4324.2579711951985
Ereğli Mh.,16-20 arası,126-150,1,0.07537607088237103,2696.144015887832
4 Temmuz Mah.,0 (Yapım Aşamasında),76-100,2,0.07272793685619033,3914.0294730852147
Ereğli Mh.,26-30 arası,76-100,2,0.07036396927138837,3233.5436167206717
Ereğli Mh.,11-15 arası,101-125,1,0.06710146768185617,2925.623990928929
Tepeköy Mh.,0 (Oturuma Hazır),76-100,2,0.0644366096255138,2632.513878928312
4 Temmuz Mah.,0 (Yapım Aşamasında),0-75,2,0.06273742576828804,3136.870712159187
Dereköy Mh.,6-10 arası,126-150,2,0.06251223607985121,2065.1974015301785
Kayacık Mh.,4,76-100,1,0.06191616134419467,2831.531934905921
Ereğli Mh.,11-15 arası,151-200,1,0.05422962020603976,2361.6126502845
Ereğli Mh.,1,126-150,1,0.05347714972905372,2103.434377752281
Ereğli Mh.,0 (Oturuma Hazır),200+,3,0.053170997349132824,2007.846863123952
4 Temmuz Mah.,2,76-100,1,0.05153006885567182,2003.9471794206474
4 Temmuz Mah.,26-30 arası,151-200,2,0.04895985681134527,1451.2811263282783
Kayacık Mh.,1,0-75,3,0.04495393732419864,2209.9435588196598
4 Temmuz Mah.,16-20 arası,151-200,1,0.04172664836939346,1779.5188766084248
Kayacık Mh.,21-25 arası,101-125,1,0.0414205258102358,1553.2697178838425
Ereğli Mh.,0 (Oturuma Hazır),151-200,1,0.03224319712012883,1450.9438704057975
Kayacık Mh.,0 (Yapım Aşamasında),76-100,1,0.02480156945339404,1317.5833772115584
Kayacık Mh.,6-10 arası,126-150,1,0.008975798922073988,388.9512567038764
Tepeköy Mh.,21-25 arası,0-75,1,0.00475483004459656,206.04261941641744
4 Temmuz Mah.,4,101-125,1,0.0006288805184630099,25.941321386599157
