site_project_id,n,mean_actual,mean_pred,mean_residual
golcuk::tanyildizdan_golcuk_elit_park,1,44800.0,39059.92707040938,-5740.07292959062
kartepe::zeray_esil_kartepe,1,49565.22,43831.671771873414,-5733.548228126587
basiskele::teras_marmara,4,44314.6625,38649.75387822611,-5664.908621773888
golcuk::cati_dubleks_havuzlu,1,43809.52,38153.98155076741,-5655.53844923259
izmit::fnd_smart_side,1,51666.67,46043.95221197877,-5622.717788021226
basiskele::rozna,1,48588.79,43015.10861346631,-5573.681386533688
basiskele::asrin,3,43359.79,37790.485644187975,-5569.304355812026
izmit::venedik,1,51428.57,45932.43515657507,-5496.13484342493
izmit::semt,7,56511.99571428571,51089.73208716904,-5422.263627116673
izmit::asayra_dan_bayindirlik_kalici,1,45500.0,40088.39818095132,-5411.601819048679
basiskele::loca_torunoglu,1,45588.24,40237.37366592277,-5350.8663340772255
basiskele::royal_life,3,50745.386666666665,45398.1899215566,-5347.19674511006
izmit::vadikent,1,48823.53,43482.0746606419,-5341.455339358101
basiskele::dlux,1,43225.81,37918.83768528797,-5306.972314712031
kartepe::effect_kartepe,2,52536.78,47255.99679694798,-5280.783203052022
kartepe::pasa_park_evleri_13,2,42766.455,37493.8754447754,-5272.579555224598
izmit::oluklu_ozon,2,55113.634999999995,49874.404263291806,-5239.230736708192
golcuk::emek,1,27314.81,22100.64639902668,-5214.163600973323
golcuk::degirmendere_de_deniz_manzarali_havuzlu,1,46666.67,41480.26225949721,-5186.407740502786
izmit::kartanesi,1,39909.09,34739.48820995691,-5169.601790043089
izmit::sehir_hastanesine_yakin,1,45333.33,40223.36761249101,-5109.962387508989
izmit::vadikent_4,1,48529.41,43462.9065786235,-5066.503421376503
karamursel::kovuk_cinar,1,43333.33,38316.72157862329,-5016.60842137671
golcuk::elit_park,2,45825.06,40837.159638942314,-4987.900361057684
karamursel::temmuz_da,1,45312.5,40362.470252638625,-4950.0297473613755
golcuk::degirmendere_yuzbasilar_da,1,40201.01,35254.652074805075,-4946.357925194927
izmit::efdal_mai,4,44123.655,39179.129906604314,-4944.525093395687
izmit::selale,1,48484.85,43586.24286470559,-4898.607135294405
izmit::inci,3,44834.706666666665,39991.221212989665,-4843.485453677003
izmit::gulen,1,45833.33,41012.18028272811,-4821.149717271888
izmit::alikahya_ve_dumlupinar_sinirinda,1,59090.91,54289.08642880134,-4801.823571198664
izmit::gundogdu_dorukkent1,1,43200.0,38432.41659556466,-4767.58340443534
basiskele::oluklu_life,4,40669.265,35926.06795983147,-4743.197040168531
kartepe::kartepe_ataevler_hursoy_city,1,37307.69,32570.619084961785,-4737.070915038217
basiskele::dongel_de,1,40740.74,36028.8555874681,-4711.884412531901
izmit::kavanium_evleri_815_ada,1,49679.49,44990.733136802315,-4688.756863197683
basiskele::villa_liva,2,50576.925,45898.108258457105,-4678.816741542898
izmit::yesilova_anaket,1,41212.12,36548.013877679645,-4664.106122320358
basiskele::kullar_yakacik_ta_kacirilmayacak_butik,1,44285.71,39628.629561037145,-4657.080438962854
izmit::flora_park,2,70320.51000000001,65704.05138416092,-4616.458615839081
karamursel::ozgul_evler,3,48184.06333333333,43583.562634764174,-4600.500698569161
basiskele::tinaztepede,1,48843.28,44258.54333498125,-4584.736665018747
golcuk::asena,1,45769.23,41189.022757603234,-4580.207242396769
karamursel::kolayli_1,1,47222.22,42686.661978237884,-4535.558021762117
kartepe::yatirimlik_kiracili,1,40500.0,36001.70246889319,-4498.297531106808
basiskele::yesilyurt_mah_durupark,1,48058.25,43650.99080630241,-4407.259193697588
kartepe::ekomax_dan_kartpe_fsm_mah_havzlu_asanslu,1,46428.57,42035.64182478855,-4392.9281752114475
kartepe::sarimese_konaklari,5,44580.364,40215.421283235875,-4364.942716764126
izmit::innovia_terrace,3,44831.38333333333,40543.525618123596,-4287.857715209738
golcuk::turkuaz,2,40625.0,36392.926417204144,-4232.073582795852
golcuk::sahan_torunogullari,2,45662.075,41459.3902044642,-4202.684795535803
kartepe::masal,1,48800.0,44613.354565260495,-4186.645434739505
basiskele::lotus,2,53273.81,49089.61781748761,-4184.19218251239
basiskele::yuvacik_eksioglu_metsan,1,54597.7,50421.33537969689,-4176.364620303109
golcuk::tasdan_premium_city,2,50333.335,46157.90086616103,-4175.434133838971
kartepe::gate41_masukiye,1,42857.14,38712.13116638693,-4145.008833613072
izmit::gulacti_deniz_konaklari,2,43517.854999999996,39376.2194862474,-4141.635513752597
izmit::umutkent,3,50478.55333333334,46366.69650125692,-4111.85683207642
izmit::masiva_kozluk,2,47485.795,43410.03657199836,-4075.758428001638
izmit::asrin_saraylari_2,3,41368.943333333336,37296.84321657154,-4072.100116761789
izmit::plajyolu,1,38461.54,34455.549829276504,-4005.9901707234967
izmit::bagtepe,1,55625.0,51638.31880323228,-3986.6811967677204
kartepe::remax_myra_dan_kartepe_fsm_de,1,44827.59,40853.13285212342,-3974.4571478765793
izmit::tuana_evleri_3,11,59083.74181818182,55133.28200312799,-3950.4598150538277
basiskele::panoramakent_2,2,46385.35,42445.95365899732,-3939.396341002677
izmit::tuana_evleri_2,15,61298.32133333333,57379.15460321469,-3919.1667301186494
basiskele::isil,1,32692.31,28785.25876910412,-3907.0512308958823
izmit::armadakent_3,3,72652.46333333333,68786.24211632983,-3866.2212170035004
izmit::dunya_bankasi_konutlari_14_ada,1,42941.18,39077.88888119498,-3863.2911188050202
kartepe::ars_den_kent_meydaninda,1,46153.85,42312.71864692002,-3841.1313530799816
izmit::yelkent_alfa,3,69689.15666666666,65874.49564215947,-3814.661024507203
basiskele::orka_life_2,8,50780.725,46972.33571636804,-3808.3892836319574
kartepe::atakent_evleri_131_ada,1,35416.67,31614.015183238127,-3802.654816761871
izmit::erenkaya_park,2,50283.25,46511.64246502779,-3771.607534972205
golcuk::golcuk_mah_faralya,1,41176.47,37427.67754345953,-3748.7924565404683
izmit::sea_life_41,2,53775.604999999996,50037.821438116356,-3737.7835618836434
izmit::bagcesme_kavanium,1,42761.9,39070.172873584444,-3691.727126415557
basiskele::yuz_yapi_dan_deniz_ve_vadi,1,43421.05,39796.07929795266,-3624.9707020473434
izmit::yelken_park,2,39754.9,36142.19812597287,-3612.7018740271305
izmit::hanife_sultan,2,52344.990000000005,48744.81521779514,-3600.17478220486
izmit::asayra_dan_yuvam_akarca,1,42692.31,39098.534372288486,-3593.7756277115113
golcuk::metropolitan_grey_effect,2,42926.94,39392.063361766486,-3534.876638233516
basiskele::pera_park,1,38518.52,34983.74133169473,-3534.778668305269
izmit::yildizlar_tepesi,15,52823.433333333334,49311.06074094466,-3512.3725923886755
karamursel::kardelen,1,29475.0,26016.746462206956,-3458.2535377930435
golcuk::melisa,1,42857.14,39402.10897749538,-3455.0310225046196
kartepe::marmara_34,3,49279.55333333334,45827.07165509043,-3452.481678242902
izmit::terrace_yahyakaptan_2,1,54285.71,50857.13190666487,-3428.578093335127
izmit::deniz_manzarali,1,39400.0,36046.965506597335,-3353.0344934026652
kartepe::atakent_evleri_132_ada,1,39987.5,36680.619315058626,-3306.880684941374
golcuk::ayse_torunogullari,1,39285.71,35994.2524601136,-3291.4575398863963
golcuk::cb_envoy_dan_golcuk_yazlik_ta,1,42045.45,38790.63296439869,-3254.817035601307
izmit::yildiz_konutlari,18,57387.99055555555,54138.710982852026,-3249.279572703526
golcuk::uplife_topcular,1,43750.0,40545.894532835286,-3204.1054671647144
