county,feature,group,positive_count,negative_count,local_effect,global_effect,smoothed_effect,reliability_level
Kartepe,in_fiber,inside,267,,0.03241262415948044,0.030240158039790188,0.03241262415948044,county
İzmit,in_fiber,inside,721,,0.0456230555171355,0.030240158039790188,0.0456230555171355,county
Başiskele,in_glass_balcony,inside,95,,0.01652832173674055,0.024817276690110468,0.01652832173674055,county
Gölcük,in_glass_balcony,inside,104,,0.013994769647584263,0.024817276690110468,0.013994769647584263,county
Karamürsel,in_glass_balcony,inside,40,,0.010361765108062157,0.024817276690110468,0.010361765108062157,county
Kartepe,in_glass_balcony,inside,62,,0.03956898310797426,0.024817276690110468,0.03956898310797426,county
İzmit,in_glass_balcony,inside,197,,0.029127147756289162,0.024817276690110468,0.029127147756289162,county
Başiskele,in_heat_glass,inside,762,,0.00963333979210319,0.018823768984827183,0.00963333979210319,county
Gölcük,in_heat_glass,inside,359,,0.012529058685946448,0.018823768984827183,0.012529058685946448,county
Karamürsel,in_heat_glass,inside,86,,0.013322799406272907,0.018823768984827183,0.013322799406272907,county
Kartepe,in_heat_glass,inside,371,,0.03498019270517861,0.018823768984827183,0.03498019270517861,county
İzmit,in_heat_glass,inside,948,,0.018982990990890965,0.018823768984827183,0.018982990990890965,county
Başiskele,in_intercom,inside,622,,0.02672719489802385,0.04346430658388467,0.02672719489802385,county
Gölcük,in_intercom,inside,197,,0.06503831163833551,0.04346430658388467,0.06503831163833551,county
Karamürsel,in_intercom,inside,45,,0.11902483825201296,0.04346430658388467,0.11902483825201296,county
Kartepe,in_intercom,inside,327,,0.0322574392774488,0.04346430658388467,0.0322574392774488,county
İzmit,in_intercom,inside,625,,0.06848986488007947,0.04346430658388467,0.06848986488007947,county
Başiskele,in_laminate_floor,inside,805,,0.00358095932605207,0.00898953108547662,0.00358095932605207,county
Gölcük,in_laminate_floor,inside,476,,-0.01371175050840787,0.00898953108547662,-0.01371175050840787,county
Karamürsel,in_laminate_floor,inside,155,,-0.038530940887217105,0.00898953108547662,-0.038530940887217105,county
Kartepe,in_laminate_floor,inside,435,,0.02204739628439261,0.00898953108547662,0.02204739628439261,county
İzmit,in_laminate_floor,inside,1217,,0.023163562971888672,0.00898953108547662,0.023163562971888672,county
Başiskele,in_pantry,inside,134,,-0.003951857155085355,0.014406010378699818,-0.003951857155085355,county
Gölcük,in_pantry,inside,66,,0.01712609507207236,0.014406010378699818,0.01712609507207236,county
Karamürsel,in_pantry,inside,31,,-0.0024114673598060656,0.014406010378699818,-0.0024114673598060656,county
Kartepe,in_pantry,inside,37,,0.001656251014068212,0.014406010378699818,0.001656251014068212,county
İzmit,in_pantry,inside,159,,0.0365716499449089,0.014406010378699818,0.0365716499449089,county
Başiskele,in_parent_bathroom,inside,410,,0.04072398308736384,0.06099076323282837,0.04072398308736384,county
Gölcük,in_parent_bathroom,inside,114,,0.06908824131583233,0.06099076323282837,0.06908824131583233,county
Karamürsel,in_parent_bathroom,inside,23,,0.12106657006873837,0.06099076323282837,0.12106657006873837,global_fallback
Kartepe,in_parent_bathroom,inside,111,,0.05942873383751417,0.06099076323282837,0.05942873383751417,county
İzmit,in_parent_bathroom,inside,244,,0.07997232982549973,0.06099076323282837,0.07997232982549973,county
Başiskele,in_pvc,inside,595,,0.003994417206062244,0.01159839808508245,0.003994417206062244,county
Gölcük,in_pvc,inside,349,,-0.0016391040262443823,0.01159839808508245,-0.0016391040262443823,county
Karamürsel,in_pvc,inside,116,,-0.01374710414954146,0.01159839808508245,-0.01374710414954146,county
Kartepe,in_pvc,inside,338,,0.022478052021544386,0.01159839808508245,0.022478052021544386,county
İzmit,in_pvc,inside,861,,0.017811064378536183,0.01159839808508245,0.017811064378536183,county
Başiskele,in_smart_home,inside,57,,0.026256441945310613,0.057885328951583936,0.026256441945310613,county
Gölcük,in_smart_home,inside,12,,0.052336527430138224,0.057885328951583936,0.052336527430138224,global_fallback
Karamürsel,in_smart_home,inside,8,,0.051269693837919,0.057885328951583936,0.051269693837919,global_fallback
Kartepe,in_smart_home,inside,25,,0.07823102018003159,0.057885328951583936,0.07823102018003159,global_fallback
İzmit,in_smart_home,inside,66,,0.08027350611569403,0.057885328951583936,0.08027350611569403,county
Başiskele,in_steel_door,inside,1011,,0.010159425584042068,0.018727918143709665,0.010159425584042068,county
Gölcük,in_steel_door,inside,554,,0.006391835113030701,0.018727918143709665,0.006391835113030701,county
Karamürsel,in_steel_door,inside,168,,-0.022558037788558784,0.018727918143709665,-0.022558037788558784,county
Kartepe,in_steel_door,inside,520,,0.029454265009432067,0.018727918143709665,0.029454265009432067,county
İzmit,in_steel_door,inside,1362,,0.024843979116731627,0.018727918143709665,0.024843979116731627,county
Başiskele,in_terrace,inside,334,,-0.03553849169328961,-0.023043876584441847,-0.03553849169328961,county
Gölcük,in_terrace,inside,126,,0.011701149600463836,-0.023043876584441847,0.011701149600463836,county
Karamürsel,in_terrace,inside,35,,-0.007802958508226694,-0.023043876584441847,-0.007802958508226694,county
Kartepe,in_terrace,inside,142,,-0.027800844214216212,-0.023043876584441847,-0.027800844214216212,county
İzmit,in_terrace,inside,237,,-0.011356618296299342,-0.023043876584441847,-0.011356618296299342,county
Başiskele,near_city_center,nearby,781,,-0.008108256080206192,-0.004219514068276808,-0.008108256080206192,county
Gölcük,near_city_center,nearby,434,,-0.012641301386307424,-0.004219514068276808,-0.012641301386307424,county
Karamürsel,near_city_center,nearby,162,,-0.04726268195378628,-0.004219514068276808,-0.04726268195378628,county
Kartepe,near_city_center,nearby,389,,0.021035831371173753,-0.004219514068276808,0.021035831371173753,county
İzmit,near_city_center,nearby,1338,,0.0006311651131644411,-0.004219514068276808,0.0006311651131644411,county
Başiskele,near_hospital,nearby,1072,,-0.004710715179179819,0.00032911486389775035,-0.004710715179179819,county
Gölcük,near_hospital,nearby,621,,-0.007481042559851784,0.00032911486389775035,-0.007481042559851784,county
Karamürsel,near_hospital,nearby,161,,-0.04633881893596126,0.00032911486389775035,-0.04633881893596126,county
Kartepe,near_hospital,nearby,534,,0.018338775406681447,0.00032911486389775035,0.018338775406681447,county
İzmit,near_hospital,nearby,1584,,0.006524517124255946,0.00032911486389775035,0.006524517124255946,county
Başiskele,near_lake_zero,nearby,21,,-0.012734310954069603,-0.013707033318239858,-0.012734310954069603,global_fallback
Gölcük,near_lake_zero,nearby,5,,-0.01268675670578209,-0.013707033318239858,-0.01268675670578209,global_fallback
Karamürsel,near_lake_zero,nearby,0,,-0.013707033318239858,-0.013707033318239858,-0.013707033318239858,global_fallback
Kartepe,near_lake_zero,nearby,2,,-0.013707033318239858,-0.013707033318239858,-0.013707033318239858,global_fallback
İzmit,near_lake_zero,nearby,29,,-0.01609178114907131,-0.013707033318239858,-0.01609178114907131,global_fallback
Başiskele,near_mall,nearby,767,,0.00415717217917134,0.010762106326081877,0.00415717217917134,county
Gölcük,near_mall,nearby,256,,-0.007560303168247826,0.010762106326081877,-0.007560303168247826,county
Karamürsel,near_mall,nearby,70,,0.03435535719481535,0.010762106326081877,0.03435535719481535,county
Kartepe,near_mall,nearby,405,,0.029732076716951193,0.010762106326081877,0.029732076716951193,county
