site_project_id,n,mean_actual,mean_pred,mean_residual
izmit::sehir_hastanesi_karsisi_sarkent,1,41818.18,36281.6230053431,-5536.556994656901
izmit::asayra_dan_bayindirlik_kalici,1,45500.0,39984.33152485446,-5515.66847514554
karamursel::temmuz_da,1,45312.5,39832.69809485278,-5479.801905147222
izmit::tuana_evleri_2,15,61298.32133333333,55823.92936425077,-5474.391969082566
izmit::vadikent,1,48823.53,43371.69152488921,-5451.838475110788
izmit::venedik,1,51428.57,46021.212397252675,-5407.357602747325
basiskele::dlux,1,43225.81,37823.91454152011,-5401.895458479885
karamursel::kovuk_cinar,1,43333.33,37947.64523942432,-5385.684760575685
izmit::efdal_mai,4,44123.655,38750.082620599474,-5373.572379400526
basiskele::royal_life,3,50745.386666666665,45407.91727815737,-5337.469388509293
kartepe::pasa_park_evleri_13,2,42766.455,37478.82645344564,-5287.628546554359
golcuk::emek,1,27314.81,22070.45849074477,-5244.35150925523
izmit::gundogdu_dorukkent1,1,43200.0,37978.93950603741,-5221.060493962592
basiskele::villa_liva,2,50576.925,45527.77565198245,-5049.149348017552
golcuk::cati_dubleks_havuzlu,1,43809.52,38805.25622546699,-5004.263774533007
izmit::vadikent_4,1,48529.41,43551.90925370266,-4977.500746297344
izmit::kartanesi,1,39909.09,34941.252748350904,-4967.837251649093
kartepe::kartepe_ataevler_hursoy_city,1,37307.69,32341.849911253546,-4965.840088746456
basiskele::oluklu_life,4,40669.265,35725.31873431346,-4943.946265686533
golcuk::degirmendere_yuzbasilar_da,1,40201.01,35266.14668211012,-4934.863317889882
karamursel::ozgul_evler,3,48184.06333333333,43279.36516164317,-4904.698171690169
izmit::yesilova_anaket,1,41212.12,36428.88752762099,-4783.232472379015
izmit::tuana_evleri_3,11,59083.74181818182,54315.16518560871,-4768.576632573106
basiskele::tinaztepede,1,48843.28,44095.605499586876,-4747.674500413123
izmit::inci,3,44834.706666666665,40102.931021623204,-4731.775645043458
kartepe::zeray_esil_kartepe,1,49565.22,44880.660444882276,-4684.559555117725
golcuk::asena,1,45769.23,41086.041581498306,-4683.188418501697
golcuk::tanyildizdan_golcuk_elit_park,1,44800.0,40143.11517721055,-4656.884822789449
basiskele::dongel_de,1,40740.74,36089.48552870835,-4651.25447129165
izmit::sehir_hastanesine_yakin,1,45333.33,40699.81925034863,-4633.510749651374
basiskele::kullar_yakacik_ta_kacirilmayacak_butik,1,44285.71,39664.02680438737,-4621.683195612626
izmit::innovia_terrace,3,44831.38333333333,40219.282226864445,-4612.101106468886
kartepe::gate41_masukiye,1,42857.14,38271.021741742836,-4586.118258257164
karamursel::kolayli_1,1,47222.22,42671.202925871316,-4551.017074128686
