county,group,mean_abs_effect,positive_feature_count,negative_feature_count,top_positive_features,top_negative_features
Gebze,inside,0.014195154154292091,10,4,in_parent_bathroom|in_air_conditioner|in_intercom,in_terrace|in_glass_balcony|in_pantry
Gebze,nearby,0.015916998765098483,0,11,near_hospital|near_city_center|near_park,near_lake_zero|near_sea_zero|near_university
Gebze,outside,0.01616568585480001,11,1,out_closed_pool|out_generator|out_open_pool,out_sauna_hamam|out_heat_insulation|out_sound_insulation
Gebze,subtype,0.06601497845054213,1,6,subtype_middle_floor|subtype_duplex|subtype_top_floor,subtype_reverse_duplex|subtype_garden_duplex|subtype_roof_duplex
Gebze,transport,0.014414544510424832,0,10,transport_metro|transport_e5|transport_main_road,transport_tram|transport_tem|transport_train
Gebze,view,0.026664946451501408,1,8,view_sea|view_score|view_pool,view_river|view_lake|view_bosphorus
Gölcük,front,0.0107310098866974,0,5,front_west|front_score|front_south,front_east|front_north|front_south
Gölcük,inside,0.02627100828419474,12,2,in_parent_bathroom|in_builtin_kitchen|in_intercom,in_laminate_floor|in_pvc|in_terrace
Gölcük,nearby,0.008369720348229182,2,9,near_sea_zero|near_market|near_mosque,near_university|near_city_center|near_lake_zero
Gölcük,outside,0.061553979420906624,12,0,out_open_pool|out_pool|out_security,out_heat_insulation|out_sound_insulation|out_hydrofor
Gölcük,subtype,0.029107831244732645,1,6,subtype_middle_floor|subtype_duplex|subtype_roof_duplex,subtype_reverse_duplex|subtype_triplex|subtype_top_floor
Gölcük,transport,0.009265831081346631,7,3,transport_airport|transport_tem|transport_train,transport_metro|transport_minibus|transport_score
Gölcük,view,0.02029103534939954,6,3,view_pool|view_bosphorus|view_nature,view_river|view_city|view_lake
Kartepe,front,0.008482641258769368,4,1,front_score|front_east|front_west,front_north|front_south|front_west
Kartepe,inside,0.03520661883415337,12,2,in_air_conditioner|in_smart_home|in_parent_bathroom,in_terrace|in_pantry|in_laminate_floor
Kartepe,nearby,0.016233938038793663,10,1,near_mall|near_park|near_pharmacy,near_lake_zero|near_sea_zero|near_university
Kartepe,outside,0.06291723299698494,12,0,out_open_pool|out_sauna_hamam|out_pool,out_heat_insulation|out_sound_insulation|out_hydrofor
Kartepe,subtype,0.0504850534201526,1,6,subtype_middle_floor|subtype_top_floor|subtype_garden_duplex,subtype_reverse_duplex|subtype_triplex|subtype_roof_duplex
Kartepe,transport,0.015176492099911051,9,1,transport_minibus|transport_main_road|transport_metro,transport_train|transport_e5|transport_airport
Kartepe,view,0.02364276382832018,6,3,view_pool|view_city|view_park_green,view_river|view_lake|view_bosphorus
Körfez,front,0.015169426345605341,3,2,front_east|front_score|front_north,front_south|front_west|front_north
Körfez,inside,0.027003006277322328,12,2,in_smart_home|in_intercom|in_fiber,in_pantry|in_terrace|in_steel_door
Körfez,nearby,0.011242352515823749,2,9,near_sea_zero|near_park|near_hospital,near_mosque|near_mall|near_pharmacy
Körfez,outside,0.07776006426743302,12,0,out_open_pool|out_pool|out_closed_pool,out_heat_insulation|out_sound_insulation|out_children_playground
Körfez,subtype,0.0335197568831452,1,6,subtype_middle_floor|subtype_roof_duplex|subtype_duplex,subtype_reverse_duplex|subtype_garden_duplex|subtype_triplex
Körfez,transport,0.01026018039807301,1,9,transport_airport|transport_tem|transport_metro,transport_tram|transport_e5|transport_score
Körfez,view,0.02111023726586413,3,6,view_pool|view_sea|view_bosphorus,view_city|view_river|view_score
Çayırova,front,0.006700596381060131,2,3,front_score|front_west|front_south,front_east|front_north|front_south
Çayırova,inside,0.03356191836745024,11,3,in_parent_bathroom|in_builtin_kitchen|in_air_conditioner,in_terrace|in_glass_balcony|in_pantry
Çayırova,nearby,0.01360647799061638,9,2,near_university|near_mall|near_city_center,near_lake_zero|near_sea_zero|near_mosque
Çayırova,outside,0.09196877984245817,12,0,out_closed_pool|out_pool|out_open_pool,out_heat_insulation|out_sound_insulation|out_hydrofor
Çayırova,subtype,0.07287663380733259,1,6,subtype_middle_floor|subtype_triplex|subtype_top_floor,subtype_reverse_duplex|subtype_duplex|subtype_garden_duplex
Çayırova,transport,0.017551421102368313,10,0,transport_tem|transport_metro|transport_airport,transport_tram|transport_e5|transport_minibus
Çayırova,view,0.020319453719702087,6,3,view_pool|view_park_green|view_score,view_river|view_lake|view_sea
İzmit,front,0.00575343705907804,4,1,front_west|front_east|front_score,front_north|front_south|front_score
İzmit,inside,0.042091143893927215,13,1,in_parent_bathroom|in_air_conditioner|in_builtin_kitchen,in_terrace|in_pvc|in_heat_glass
İzmit,nearby,0.009055957075720688,4,7,near_sea_zero|near_university|near_mall,near_lake_zero|near_park|near_city_center
İzmit,outside,0.08413886741182482,12,0,out_generator|out_open_pool|out_pool,out_heat_insulation|out_sound_insulation|out_hydrofor
İzmit,subtype,0.05009526908126831,1,6,subtype_middle_floor|subtype_garden_duplex|subtype_duplex,subtype_reverse_duplex|subtype_top_floor|subtype_roof_duplex
İzmit,transport,0.01290821635274515,9,1,transport_tem|transport_e5|transport_airport,transport_minibus|transport_score|transport_bus_stop
İzmit,view,0.024467045417461433,6,3,view_pool|view_sea|view_park_green,view_river|view_city|view_lake
