county,district,m2_group,rows,r2,mape,mean_bias,variance_ratio
Gölcük,Değirmendere Yalı Mh.,101-125,10,0.39923829414982015,0.12760826092458824,7.512653901316298,0.14337677075054978
Gölcük,Atatürk Mh.,126-150,10,0.6747474422802646,0.12495526919834812,-1243.4654690013172,0.40873855916162277
Gölcük,Topçular Mh.,126-150,13,0.33286459908096044,0.12278506899611046,405.64051929048077,0.22059033330323569
Gölcük,Piyalepaşa Mh.,101-125,12,0.746194732742341,0.11990162906719386,73.40548535817258,0.7273557677674736
Gölcük,Cumhuriyet Mah.,101-125,13,0.8567054932004605,0.11486431427651708,158.18227777453677,0.61490558551891
Gölcük,Merkez Mah.,76-100,12,0.6067638688101484,0.11018987061329179,-1570.9456468621693,0.31348488000525715
Gölcük,Donanma Mah.,101-125,11,0.6624139087043739,0.10072725073723111,-546.1678066476059,0.41910718528176705
Gölcük,Şirinköy Mh.,76-100,14,0.5588598530839155,0.07769305936337947,-622.0864039312835,0.3495917924421158
Gölcük,Çiftlik Mh.,76-100,10,-0.008344749404195717,0.07472528945245378,-181.3640347336026,0.13706764438121072
Gölcük,Düzağaç Mh.,76-100,12,-0.5575804205654886,0.06722204996735756,527.8208050755426,0.651239896289805
Karamürsel,4 Temmuz Mah.,126-150,23,0.07014416287531688,0.21476177553627301,-1543.2339779177564,0.2882522705311158
Karamürsel,Kayacık Mh.,101-125,27,0.5087064441877306,0.17294119220525309,-1786.7644745488647,0.38958106539727894
Karamürsel,Kayacık Mh.,76-100,18,0.3349229489121286,0.1665725356746177,645.212945205497,0.32022689084257355
Karamürsel,Kayacık Mh.,126-150,12,0.37973740113541476,0.16124730886261568,-757.3979667153963,0.27284532660801203
Karamürsel,4 Temmuz Mah.,76-100,33,0.5808112308443804,0.16028143239333514,-962.5742038295474,0.5356307773779752
Karamürsel,4 Temmuz Mah.,101-125,36,0.656692177877114,0.13365975416092182,-1061.5640434918657,0.3878202289131843
Karamürsel,Ereğli Mh.,76-100,11,0.0059315948192195656,0.09854960405813559,-666.2629166844113,0.8481806905020621
İzmit,Cedit Mah.,126-150,11,0.24027307412796028,0.1758258379976393,30.882241533825766,0.3417430445218799
İzmit,Yenişehir Mh.,76-100,15,0.12560606174547362,0.17560019637409957,-914.3977272246007,0.05850877404341157
İzmit,Alikahya Fatih Mah.,126-150,16,-0.06874208352553368,0.1735706270387566,-1789.1386962386268,0.14791153149787434
İzmit,Karabaş Mh.,101-125,11,-0.18214075490467163,0.16388582197399143,-786.4956570495762,0.07083986571064937
İzmit,Turgut Mah.,76-100,12,0.347357723164217,0.16355912633449565,-1857.2234692644113,0.29207676177546
İzmit,28 Haziran Mah.,101-125,10,0.17421725434349167,0.16006890403049323,1797.3272708260533,0.1125004550515776
İzmit,Cumhuriyet Mah.,126-150,13,0.721091756860674,0.1586994235124057,-1615.108910658723,0.34714759496654213
İzmit,Gündoğdu Mh.,101-125,19,0.25620596458664446,0.1481071901644747,-258.2480739902335,0.19428274788012312
İzmit,Alikahya Atatürk Mh.,101-125,16,0.4237954512218538,0.1441586540870045,-66.3979426369308,0.21247526904121516
İzmit,Yeşilova Mh.,0-75,40,0.14854887877646106,0.14282172774267407,-794.1834939072954,0.1258419004707916
İzmit,Kozluk Mah.,76-100,26,0.5168060632429494,0.13490348593010423,-1322.5143789126853,0.5134036300610435
İzmit,Alikahya Atatürk Mh.,0-75,15,0.4388691048085692,0.1348231701458467,-1137.8201723992966,0.12561760544391587
İzmit,Kabaoğlu Mh.,76-100,10,-0.5713416651142775,0.13415163025683116,2811.9289899406153,0.13544578339600527
İzmit,Akpınar Mh.,0-75,14,-0.28098158346754265,0.12727346284056754,98.8118361738959,0.0795826949519117
İzmit,Gündoğdu Mh.,76-100,17,0.1978978180659876,0.12705801759214397,-93.46264239532748,0.0708929391343771
İzmit,Alikahya Cumhuriyet Mah.,126-150,12,0.4273893718471803,0.12468506746937218,-1401.0758944911777,0.6208822462017309
İzmit,Kadıköy Mh.,76-100,12,-0.05327333873208939,0.12378393633946026,573.5417953765187,0.7678190358658994
İzmit,Yeni Mah.,126-150,17,0.6605505947598331,0.12313597433823364,-525.1934778354087,0.3754387126270818
İzmit,Topçular Mh.,101-125,19,-0.02150759992356277,0.12223386066022086,247.8014139754144,0.16019793284439604
İzmit,Çayırköy Mh.,76-100,14,0.32575544539154344,0.12046035770081258,-267.2593438773942,0.11736297927414692
İzmit,Yahyakaptan Mah.,101-125,17,0.23798303094370654,0.11239303503543674,-369.8885969497,0.13516562258345555
İzmit,Akpınar Mh.,76-100,18,0.4161360931589556,0.1107504888227008,542.7904242449318,0.15852989289784675
İzmit,Yeşilova Mh.,76-100,13,-0.32684971452572054,0.10955815820503048,375.86202423650235,0.25777348262042993
İzmit,Şirintepe Mh.,101-125,19,0.8163755736398159,0.10910499762243116,159.5814658183228,0.8936073376291652
İzmit,Alikahya Fatih Mah.,101-125,13,0.08333529832035314,0.10897717403949897,-193.1619812227358,0.17834916881086207
İzmit,Orhan Mah.,76-100,11,0.07547253454277503,0.10777332310353453,-612.8719062514468,0.24069104017340326
İzmit,28 Haziran Mah.,76-100,24,-0.19349439380527067,0.094020375137022,-596.4684394776026,0.17078459749688588
İzmit,Alikahya Atatürk Mh.,76-100,13,0.5826830762408446,0.0927902009061649,575.6843411107413,0.2894850077067222
İzmit,Ayazma Mah.,101-125,12,-0.02546371987253737,0.0884413404862851,-746.15520913814,0.15039516715417167
İzmit,Çayırköy Mh.,126-150,14,0.37111694087721947,0.08699018704436944,1110.0798281968835,0.24926370374262113
İzmit,Malta Mah.,76-100,24,-0.18557874712906064,0.08662157351120074,-754.7077649119343,0.4115065224826034
İzmit,Fevzi Çakmak Mh.,101-125,13,0.2052690659597478,0.08311484927691645,-145.43244361980004,0.19524198189354347
İzmit,Cumhuriyet Mah.,101-125,12,0.8795370222499346,0.08210582829196274,16.370674839480063,0.7867924436049449
İzmit,Erenler Mah.,101-125,14,0.2694573285902946,0.08186420420883213,874.3644936177853,0.6197513596924467
İzmit,Orhan Mah.,126-150,11,0.21732052880859587,0.08157134959905138,1324.0167440009689,0.3480961672618805
İzmit,Erenler Mah.,76-100,10,0.7816009573982964,0.08139338209416778,-125.18703974244636,0.6111963831296707
İzmit,Orhan Mah.,0-75,16,0.039525062156602675,0.07804982045530368,-592.6786285652379,0.1330790036296084
İzmit,Yenişehir Mh.,0-75,11,0.5386901869239467,0.07554941745358067,-743.2683042270877,0.7380269504095068
İzmit,Çayırköy Mh.,101-125,11,0.44798838994592094,0.07453902583446353,-1293.767153727082,0.16574611676758422
İzmit,Sepetçi Mh.,76-100,10,-0.20058564030586368,0.06439259133900482,378.14833595956077,0.5977549054974045
İzmit,Sekbanlı Mh.,76-100,12,0.48070979563423255,0.020945634421779328,-388.68639430413776,0.5452674259895646
