segment_col,segment_value,rows,actual_mean,pred_mean,mean_bias,abs_bias,mape,r2,pred_variance,actual_variance,variance_ratio
attr_total_quality_bucket,q5_high,289,44603.31290657439,43598.8212098602,-1004.4916967141905,4795.418830353791,0.10527218535027989,0.3108511615334615,24247118.05132777,59567245.22373179,0.4070545475161177
detail_effect_total_bucket,q1_low,175,40582.07697142856,40204.52902827652,-377.5479431520459,4584.180788404314,0.11202194011142842,0.3174210019382193,22922299.303139765,56598398.759255715,0.4049990778120946
building_age_group,1,41,42480.85219512195,40480.3645403007,-2000.48765482125,4763.074316123671,0.1109976690699409,0.3354951197278703,20601017.32715015,57393151.76292256,0.35894556570526126
district,Kullar Yakacık Mh.,21,39788.62190476191,39378.455029053155,-410.1668757087436,4825.694276156101,0.12018448166555744,0.3365882882591724,28543938.566641875,56728700.606876194,0.5031657390577003
room_count,3+1,374,39265.34267379679,39080.2245757234,-185.1180980733961,4515.5781591134,0.11495752701158483,0.34061342204355005,21793367.966854,52388187.202418566,0.4159977493141408
detail_effect_total_bucket,q5_high,239,42242.49029288703,41238.808336901944,-1003.6819559850836,5210.61491408109,0.12167230937135572,0.3512063299442042,28619373.86726174,72359750.52230453,0.3955150986657971
attr_total_quality_bucket,q3,193,39632.62031088083,39587.0565816329,-45.56372924792895,4500.335416122627,0.11510112020511341,0.3564019266001083,22608415.373515654,56117952.74399781,0.4028731318238222
basiskele_premium_bucket,low,257,40395.37494163424,39914.461925413256,-480.91301622098734,4542.263492242995,0.1123554936037372,0.3574772952395445,24967720.287889216,58319814.81760244,0.42811727653760157
m2_group,126-150,199,39179.75864321608,39121.318783033224,-58.43986018285894,4437.984586624367,0.11507065560058823,0.35996163420969807,19280939.41136667,50974941.24346633,0.3782434847600337
district,Mahmutpaşa Mh.,26,43948.421153846146,43790.65412363754,-157.76703020862973,4656.017823236956,0.10851151191360094,0.3718630618986771,11249591.527330639,48876455.4647786,0.230163816511558
district,Paşadağ Mh.,100,40556.4424,40062.43518346003,-494.0072165399733,4587.942216169196,0.11332230046678797,0.3730757316644526,17078609.978207506,59920788.65822246,0.2850197796230765
m2_group,101-125,227,39741.29678414098,39491.047808533775,-250.2489756071987,4104.314064462698,0.1019041043944213,0.3766541824725441,22360931.125863135,48881074.98854315,0.45745579717925877
district,Fatih Mah.,188,41324.3764893617,41197.34241300077,-127.03407636092597,4676.351038736648,0.11576931427673852,0.3871999955806973,24578158.071872104,61377890.99352023,0.4004399250939864
attr_total_quality_bucket,q4,242,40282.81578512397,39975.03865280558,-307.77713231838874,4460.415307310184,0.11058625775598264,0.39043199440196275,23761662.044328704,57432907.73421287,0.4137290445800265
district,Yeşilyurt Mh.,193,41401.13129533679,40735.32494359083,-665.8063517459543,4237.12677778936,0.09938863776579966,0.3922848762269261,20101011.43157739,55602511.14872592,0.36151265502759555
m2_group,0-75,32,54167.737812499996,52503.72774594831,-1664.0100665516945,5581.219809529683,0.10050165514793671,0.3922961348536441,53333332.536888674,95820145.88139184,0.5565983233098578
building_age_group,6-10 arası,151,40576.63311258278,40554.73370039348,-21.89941218929922,5177.295212257807,0.12791959978903825,0.3971150784834169,28232234.12299319,71265489.06181091,0.3961557619917046
building_age_group,2,28,41279.28607142857,40396.426779349174,-882.8592920794043,4974.661378334122,0.11609606760185533,0.39815785723150954,26028606.66811058,80759111.2826025,0.32229932022193736
site_inside,Evet,360,42134.64447222222,41532.85655781372,-601.7879144085034,5155.114194897492,0.12221257866128256,0.41569966136149106,32954244.55879985,75944235.86679861,0.43392686992860807
building_age_group,11-15 arası,75,36944.45213333334,37321.84957127924,377.39743794591834,3812.5517797048165,0.1078164748514572,0.44330933011262486,18852515.75124062,40869787.83096025,0.46128244729861795
basiskele_premium_bucket,mid,342,40141.135935672515,39860.13663353009,-280.999302142424,4360.613574202073,0.10834722096189854,0.44697415283345054,27672273.40171598,64047804.11223064,0.4320565519034188
district,Serdar Mah.,37,37572.25648648649,36552.437931714,-1019.8185547724947,4046.8384658937766,0.10502061703976039,0.44840948034126626,28338442.73122053,57975706.6637401,0.4887985737816684
m2_group,76-100,211,43561.56431279621,42896.261270904084,-665.3030418921237,4194.417197464332,0.0948757389928055,0.45325600078023376,19953753.191709682,57996652.42069987,0.34405008494228007
site_inside,Hayır,492,39863.58672764228,39533.18084783574,-330.4058798065347,4093.3432320205507,0.10250478881734719,0.4646795109928351,27076270.23143298,59341692.14292919,0.4562773533019185
detail_effect_total_bucket,q2,144,40240.16923611111,39527.92991229255,-712.239323818557,4166.250561766626,0.10304407193740801,0.4831242310552697,30264886.05406801,65757386.02507843,0.46025074723203935
room_count,2+1,358,42027.26363128492,41535.12176143014,-492.1418698547714,4060.6763045141893,0.0952003039686176,0.48775231923136975,23747959.392102104,60271454.56304112,0.3940166960341541
attr_total_quality_bucket,q2,98,36018.26040816327,36019.8677808165,1.6073726532349424,3980.385533556418,0.11037377555551023,0.4897735756680388,18268636.59068577,57700834.31559778,0.3166095743220019
building_age_group,21-25 arası,14,32268.043571428578,32246.41696969391,-21.626601734661953,1735.57128828801,0.0525112117627904,0.49263673180208156,8804614.38933186,8368484.665424725,1.0521157343705307
district,Döngel Mh.,35,38945.29485714285,38551.18032191193,-394.1145352309236,5327.034878374888,0.13223625433801528,0.49976495550682476,30601453.931555234,87822418.7973963,0.3484469495443057
is_large_flat,0,662,41489.35043806647,41075.52573733781,-413.8247007286499,4295.825902279731,0.1029822697954455,0.5023567532484365,30941942.5879139,65486078.58656668,0.4724964947627983
building_age_group,0 (Oturuma Hazır),357,42036.38058823529,41703.7171556717,-332.66343256358954,4185.98908239437,0.0996354478909918,0.5108231460042734,32813526.08867194,65125760.36442072,0.5038486446078949
basiskele_premium_bucket,high,257,42140.58630350194,41530.71790339605,-609.8684001058981,4783.57235042692,0.11310713669065336,0.5129388172635089,38356969.42773664,79897500.05592105,0.48007721644469753
detail_effect_total_bucket,q3,130,39462.56615384615,39844.49463380889,381.9284799627351,4223.353396738905,0.10819048770402015,0.5473963952604404,37542971.597874865,70284159.84889361,0.5341597833507553
detail_effect_total_bucket,q4,168,40580.201845238094,40475.61882403596,-104.58302120213655,4116.22041093268,0.10364294246943045,0.5865029294918547,34969822.10635537,69133187.43249299,0.5058326312598073
room_count,1+1,37,49950.884054054055,49038.251346261655,-912.6327077923976,5540.935421948173,0.11233580235856996,0.6000798762811406,76305146.48637666,120762560.15827475,0.6318609541431468
district,Altınkent Mh.,23,35582.33391304348,35277.14478971075,-305.18912333273596,2554.4012845043953,0.06973945060332887,0.6511004254534383,14487848.654969128,37635786.39545217,0.384948742740229
district,Yaylacık Mh.,32,42874.013125000005,42226.14242470144,-647.8707002985623,3807.933750670353,0.09105856736908051,0.651385459098948,41213470.54755217,68966008.7791125,0.5975910637304322
district,Körfez Mh.,10,40935.188,38245.55863421092,-2689.629365789073,6098.076637217134,0.15802671759856335,0.7135091293982947,85637838.72023636,179397730.1727289,0.47736300028869916
