county,group,mean_abs_effect,positive_feature_count,negative_feature_count,top_positive_features,top_negative_features
Derince,outside,0.06998901044583403,12,0,out_sauna_hamam|out_closed_pool|out_generator,out_sound_insulation|out_heat_insulation|out_camera
Derince,subtype,0.058950211862602006,2,5,subtype_middle_floor|subtype_triplex|subtype_garden_duplex,subtype_top_floor|subtype_duplex|subtype_reverse_duplex
Derince,transport,0.023898791646970056,0,10,transport_airport|transport_metro|transport_minibus,transport_tram|transport_e5|transport_tem
Derince,view,0.033379624447608336,4,5,view_pool|view_bosphorus|view_lake,view_river|view_city|view_score
Gebze,front,0.033704647129281146,4,1,front_score|front_south|front_north,front_west|front_east|front_north
Gebze,inside,0.03218890510953977,11,3,in_smart_home|in_builtin_kitchen|in_steel_door,in_terrace|in_pantry|in_dressing_room
Gebze,nearby,0.0260536496863789,9,2,near_market|near_park|near_school,near_sea_zero|near_university|near_lake_zero
Gebze,outside,0.06587121790374999,12,0,out_sauna_hamam|out_closed_pool|out_generator,out_camera|out_security|out_sound_insulation
Gebze,subtype,0.06895352883944457,2,5,subtype_middle_floor|subtype_triplex|subtype_roof_duplex,subtype_top_floor|subtype_reverse_duplex|subtype_duplex
Gebze,transport,0.03582202575752898,6,4,transport_score|transport_main_road|transport_bus_stop,transport_tram|transport_airport|transport_tem
Gebze,view,0.03501903443392307,8,1,view_pool|view_score|view_nature,view_river|view_city|view_park_green
Gölcük,front,0.01761929501450826,4,1,front_west|front_score|front_north,front_east|front_south|front_north
Gölcük,inside,0.039626433357854034,12,2,in_intercom|in_builtin_kitchen|in_smart_home,in_terrace|in_pantry|in_laminate_floor
Gölcük,nearby,0.013056173533127892,7,4,near_lake_zero|near_pharmacy|near_market,near_university|near_mall|near_sea_zero
Gölcük,outside,0.07908585951126851,12,0,out_sauna_hamam|out_generator|out_closed_pool,out_camera|out_sound_insulation|out_sports_area
Gölcük,subtype,0.03425281403231791,2,5,subtype_triplex|subtype_middle_floor|subtype_roof_duplex,subtype_top_floor|subtype_reverse_duplex|subtype_garden_duplex
Gölcük,transport,0.017642747123662966,5,5,transport_e5|transport_minibus|transport_score,transport_tram|transport_metro|transport_bus_stop
Gölcük,view,0.04165570633201342,7,2,view_pool|view_bosphorus|view_lake,view_river|view_sea|view_city
Kartepe,front,0.006251632756952658,3,2,front_score|front_north|front_south,front_east|front_west|front_south
Kartepe,inside,0.03638403171130509,12,2,in_smart_home|in_air_conditioner|in_intercom,in_terrace|in_pantry|in_glass_balcony
Kartepe,nearby,0.02784360901703319,11,0,near_lake_zero|near_mall|near_city_center,near_sea_zero|near_university|near_hospital
Kartepe,outside,0.0712900555591967,12,0,out_sauna_hamam|out_generator|out_closed_pool,out_sound_insulation|out_heat_insulation|out_sports_area
Kartepe,subtype,0.05296372871701975,2,5,subtype_middle_floor|subtype_triplex|subtype_top_floor,subtype_reverse_duplex|subtype_duplex|subtype_garden_duplex
Kartepe,transport,0.02629269827093056,9,1,transport_main_road|transport_score|transport_bus_stop,transport_tram|transport_train|transport_metro
Kartepe,view,0.041240823891880565,8,1,view_pool|view_bosphorus|view_lake,view_river|view_sea|view_city
Körfez,front,0.03401593450185251,3,2,front_east|front_score|front_north,front_south|front_west|front_north
Körfez,inside,0.03916166780061077,11,3,in_smart_home|in_intercom|in_pvc,in_terrace|in_pantry|in_glass_balcony
Körfez,nearby,0.019219522760401696,6,5,near_lake_zero|near_sea_zero|near_city_center,near_mosque|near_pharmacy|near_university
Körfez,outside,0.08584407351764885,12,0,out_sauna_hamam|out_generator|out_closed_pool,out_heat_insulation|out_sound_insulation|out_children_playground
Körfez,subtype,0.04173319792914764,2,5,subtype_middle_floor|subtype_triplex|subtype_duplex,subtype_top_floor|subtype_reverse_duplex|subtype_garden_duplex
Körfez,transport,0.024371110907989147,2,8,transport_main_road|transport_airport|transport_metro,transport_tram|transport_tem|transport_train
Körfez,view,0.0387128954805018,5,4,view_pool|view_bosphorus|view_lake,view_river|view_city|view_nature
Çayırova,front,0.01290993108772264,4,1,front_score|front_south|front_north,front_east|front_west|front_north
Çayırova,inside,0.030411219928478263,11,3,in_smart_home|in_intercom|in_parent_bathroom,in_terrace|in_pantry|in_steel_door
Çayırova,nearby,0.011401739452464353,11,0,near_lake_zero|near_pharmacy|near_sea_zero,near_city_center|near_mosque|near_university
Çayırova,outside,0.0757581470295655,12,0,out_closed_pool|out_sauna_hamam|out_open_pool,out_heat_insulation|out_sound_insulation|out_security
Çayırova,subtype,0.06768264706886581,2,5,subtype_middle_floor|subtype_triplex|subtype_garden_duplex,subtype_reverse_duplex|subtype_duplex|subtype_top_floor
Çayırova,transport,0.017064813866072965,5,5,transport_tem|transport_bus_stop|transport_airport,transport_tram|transport_metro|transport_train
Çayırova,view,0.03042628353476578,5,4,view_pool|view_bosphorus|view_lake,view_river|view_city|view_park_green
İzmit,front,0.013915388746342499,2,3,front_south|front_east|front_west,front_score|front_north|front_west
İzmit,inside,0.041637832959151265,12,2,in_smart_home|in_intercom|in_builtin_kitchen,in_terrace|in_pantry|in_laminate_floor
İzmit,nearby,0.027965651251407306,3,8,near_lake_zero|near_university|near_mall,near_park|near_mosque|near_city_center
İzmit,outside,0.10830587334777952,12,0,out_generator|out_sauna_hamam|out_closed_pool,out_heat_insulation|out_camera|out_sound_insulation
İzmit,subtype,0.04414712647772863,2,5,subtype_middle_floor|subtype_triplex|subtype_roof_duplex,subtype_top_floor|subtype_reverse_duplex|subtype_duplex
İzmit,transport,0.03178396759404299,4,6,transport_tem|transport_airport|transport_e5,transport_tram|transport_minibus|transport_score
İzmit,view,0.05207680301328142,7,2,view_pool|view_lake|view_park_green,view_river|view_city|view_score
