site_project_id,n,mean_actual,mean_pred,mean_residual
kartepe::mahal_kartepe,5,52541.39200000001,50160.15781399099,-2381.2341860090105
basiskele::esila_park,3,44052.06666666667,41673.767804881565,-2378.2988617850956
gebze::koza_kent,1,57446.81,55144.22492119591,-2302.5850788040843
basiskele::ust_park_yuvacik,1,36750.0,34448.10338536163,-2301.896614638368
golcuk::balaban_city,1,45454.55,43241.33182726012,-2213.2181727398856
kartepe::onur,1,29615.38,27428.64290142763,-2186.737098572372
izmit::yelkent_tetra,1,48125.0,45956.722487641615,-2168.277512358385
basiskele::ustgrup_mezire,1,49484.62,47366.73881259457,-2117.88118740543
korfez::emlak_korfez_kent_3,4,51758.5325,49644.53893169208,-2113.993568307922
korfez::emlak_korfezkent_2,5,57232.797999999995,55140.59496617812,-2092.2030338218756
kartepe::kartepe_atakent,1,34944.44,32854.55171701946,-2089.8882829805443
izmit::sea_life_41,1,48333.33,46247.2798044306,-2086.0501955694053
golcuk::ocak,1,27083.33,25068.75586520948,-2014.5741347905205
kartepe::sudeks_dorukkent_sitesi_1,1,40149.25,38178.3633989533,-1970.8866010467027
izmit::humeyra_park,1,45384.62,43420.775397841106,-1963.844602158897
derince::cinarlikent,8,45756.21875,43819.97051404776,-1936.24823595224
basiskele::havuzlu,1,55625.0,53704.68430734631,-1920.3156926536903
golcuk::rakicioglu,1,27517.24,25602.081173473747,-1915.1588265262544
kartepe::aykent,1,29571.43,27671.23285715033,-1900.197142849669
izmit::akarca,1,38266.67,36440.50301616315,-1826.166983836847
golcuk::80_ine_kredi_imkamli,1,40526.32,38713.49096930189,-1812.829030698107
kartepe::tuana_evleri_1,1,41500.0,39698.41376212883,-1801.5862378711681
korfez::lux_teras_dublex_deniz_ve_park,1,37000.0,35277.640685221464,-1722.359314778536
golcuk::revna_life,1,45517.24,43811.38811797452,-1705.8518820254758
izmit::mimkon_yasam,1,43076.92,41394.85902461805,-1682.0609753819517
basiskele::supark_megaron,1,41319.44,39680.00292925093,-1639.4370707490743
gebze::ozlem_evler,1,30416.67,28788.336521541394,-1628.333478458604
derince::yildirim_park,3,46233.51666666666,44636.690957551175,-1596.825709115493
golcuk::nida_torunogullari,1,30270.27,28751.59396010729,-1518.6760398927108
izmit::vere_house_2,1,36760.0,35341.29044215439,-1418.7095578456065
derince::yelkent_safir_konaklari,3,50775.64333333333,49394.619811552526,-1381.0235217808029
