osm_id,osm_type,lat,lon,category,subcategory,name,amenity,shop,leisure,highway,public_transport,railway
4538589103,node,40.7961444,29.4426951,daily,cafe,Özsüt,cafe,,,,,
4538597089,node,40.7952703,29.4428942,daily,restaurant,Hd İskender,restaurant,,,,,
4538600092,node,40.7961833,29.4418385,daily,cafe,Kahve Dünyası,cafe,,,,,
4539980226,node,40.8178783,29.5113659,daily,convenience,,,convenience,,,,
4539980227,node,40.8173275,29.5114782,daily,convenience,,,convenience,,,,
4556860491,node,40.6941413,30.1276587,daily,restaurant,,restaurant,,,,,
4559325190,node,40.6620179,30.2165287,daily,restaurant,Sopeli Doğal Yaşam Köyü,restaurant,,,,,
4573254499,node,40.7985429,29.4396654,daily,restaurant,Kumrucu Uğur,restaurant,,,,,
4573267652,node,40.7984999,29.4391651,daily,supermarket,BİM,,supermarket,,,,
4573304676,node,40.7986782,29.4400929,daily,restaurant,Konya Lezzetleri,restaurant,,,,,
4573327646,node,40.7984154,29.4400775,daily,supermarket,Mopaş,,supermarket,,,,
4579847810,node,40.7949227,29.4418199,daily,bank,İş Bankası,bank,,,,,
4579847811,node,40.7949209,29.4419035,daily,bank,Halkbank,bank,,,,,
4579847812,node,40.7949227,29.4419675,daily,bank,Ziraat Bankası,bank,,,,,
4579847813,node,40.7954198,29.441719,daily,supermarket,Carrefour Market,,supermarket,,,,
4579847814,node,40.7951008,29.442609,daily,cafe,,cafe,,,,,
4579910256,node,40.7953429,29.4339958,daily,atm,,atm,,,,,
4579910257,node,40.7953352,29.4340035,daily,atm,,atm,,,,,
4579910258,node,40.7953254,29.4340215,daily,atm,,atm,,,,,
4674803892,node,40.7626484,29.9299162,daily,cafe,45'lik Plak Kafe,cafe,,,,,
4675261646,node,40.6044162,29.9286898,daily,restaurant,Veysel Dayının Yeri,restaurant,,,,,
4678138490,node,40.695026,30.1279399,daily,restaurant,,restaurant,,,,,
4679475802,node,40.7561629,29.8363936,daily,bank,Akbank,bank,,,,,
4679475803,node,40.76292,29.99773,daily,bank,"Akbank, TR-Findikli",bank,,,,,
4679475804,node,40.79571,29.43134,daily,bank,Akbank,bank,,,,,
4679475805,node,40.71986,29.82082,daily,bank,Akbank,bank,,,,,
4679475832,node,40.69246,29.61629,daily,bank,Akbank,bank,,,,,
4679475833,node,40.76096,29.78812,daily,bank,Akbank,bank,,,,,
4679475834,node,40.7633607,29.9267716,daily,bank,Akbank,bank,,,,,
4680608591,node,40.7650021,29.8721019,health,clinic,kuruçeşme sağlık ocağı,clinic,,,,,
4686769590,node,40.7020857,30.2185301,daily,restaurant,Maja,restaurant,,,,,
4688956991,node,40.7653309,29.8717031,education,school,Kılıçarslan İlköğretim Okulu,school,,,,,
4858343028,node,40.6898493,29.8323489,daily,restaurant,Kokorec Adam,restaurant,,,,,
4898679821,node,40.7619314,29.9264994,daily,cafe,,cafe,,,,,
4933948522,node,40.6763978,30.1452339,daily,restaurant,Kartepe Manzara Restaurant,restaurant,,,,,
4934435244,node,40.7102291,30.1103443,transport,station,Büyük Derbent,,,,,station,station
4934449662,node,40.6992898,30.2445084,transport,station,Sapanca YHT,,,,,station,construction
4953620282,node,40.8241732,29.9207445,transport,bus_stop,Umuttepe Peronlar,,,,bus_stop,platform,
4964378521,node,40.7004903,30.1528938,daily,restaurant,Maşukiye Kuzu Çevirme,restaurant,,,,,
4976098140,node,40.8231443,29.9269178,health,pharmacy,Köroğlu Eczanesi,pharmacy,,,,,
5012064626,node,40.7463277,29.9478956,daily,bank,Akbank,bank,,,,,
5012064627,node,40.7463177,29.9488059,daily,bank,Türkiye İş Bankası,bank,,,,,
5012111459,node,40.7463615,29.9472102,daily,bank,TEB,bank,,,,,
5012111460,node,40.7463572,29.9470281,daily,bank,Türkiye Finans Kalkınma Bankası,bank,,,,,
5024176021,node,40.7904575,29.4161843,daily,convenience,bakkal,,convenience,,,,
5026068724,node,40.7934935,29.4239564,daily,convenience,,,convenience,,,,
5026068725,node,40.7952184,29.4230945,daily,supermarket,Mopaş,,supermarket,,,,
5078083423,node,40.7590915,29.9798858,daily,restaurant,midpoint,restaurant,,,,,
5080677821,node,40.7668726,29.9760581,daily,cafe,Starbucks,cafe,,,,,
5114012822,node,40.7909629,29.4245,daily,supermarket,CarrefourSA,,supermarket,,,,
5124114625,node,40.7912485,29.4244477,daily,supermarket,BİM,,supermarket,,,,
5124125421,node,40.7904447,29.4239518,daily,supermarket,BİM,,supermarket,,,,
5223613441,node,40.7635878,29.920528,daily,park,Kültür Tepesi,,,park,,,
5239091585,node,40.775369,29.8009022,daily,supermarket,BİM,,supermarket,,,,
5298415429,node,40.7954858,29.4335571,daily,cafe,pusula,cafe,,,,,
5298415430,node,40.7956213,29.4337761,daily,cafe,değirmen,cafe,,,,,
5298415431,node,40.7932828,29.433405,daily,bank,Yapı Kredi,bank,,,,,
5298415432,node,40.79323,29.4334415,daily,bank,İş Bankası,bank,,,,,
5298415433,node,40.793207,29.4333731,daily,bank,Garanti,bank,,,,,
5298415503,node,40.777666,29.4221279,daily,supermarket,,,supermarket,,,,
5298416355,node,40.7795859,29.4199756,daily,supermarket,,,supermarket,,,,
5298416365,node,40.7696594,29.4285368,daily,restaurant,Sahil Sofrası,restaurant,,,,,
5298416366,node,40.7696621,29.4283262,daily,restaurant,Sahil Restaurant,restaurant,,,,,
5298486072,node,40.7832658,29.4140596,daily,restaurant,,restaurant,,,,,
5298486077,node,40.783901,29.4142495,daily,restaurant,mert döner,restaurant,,,,,
5298487724,node,40.7828428,29.4123864,daily,atm,,atm,,,,,
5298487725,node,40.7828022,29.4124038,daily,atm,,atm,,,,,
5298487726,node,40.7828761,29.4123631,daily,atm,,atm,,,,,
5298487727,node,40.7827783,29.4129316,transport,bus_stop,,,,,bus_stop,platform,
5298487728,node,40.7834607,29.4136616,transport,bus_stop,,,,,bus_stop,platform,
5298487729,node,40.780545,29.4089773,transport,bus_stop,,,,,bus_stop,platform,
5298487734,node,40.7817309,29.4110879,daily,restaurant,karataş,restaurant,,,,,
5298487739,node,40.7818484,29.4108835,daily,supermarket,,,supermarket,,,,
5298487744,node,40.7811693,29.409747,daily,bank,,bank,,,,,
5298487751,node,40.7780322,29.4055025,transport,bus_stop,,,,,bus_stop,platform,
5298487760,node,40.7784377,29.40565,daily,bank,,bank,,,,,
5298487761,node,40.7785613,29.4054371,daily,convenience,peynirci baba,,convenience,,,,
5298487766,node,40.778621,29.4057213,daily,supermarket,,,supermarket,,,,
5298487767,node,40.7785253,29.40544,transport,bus_stop,,,,,bus_stop,platform,
5298487768,node,40.780149,29.4078488,transport,bus_stop,,,,,bus_stop,platform,
5298487769,node,40.7859768,29.4166165,transport,bus_stop,,,,,bus_stop,platform,
5298487869,node,40.789947,29.4217192,transport,bus_stop,,,,,bus_stop,platform,
5298487870,node,40.7899784,29.4219884,transport,bus_stop,,,,,bus_stop,platform,
5298487891,node,40.7900418,29.4151258,transport,bus_stop,,,,,bus_stop,platform,
5298487892,node,40.7897573,29.4149858,transport,bus_stop,,,,,bus_stop,platform,
5298487956,node,40.7964012,29.4324842,transport,bus_stop,,,,,bus_stop,platform,
5298509502,node,40.7974562,29.4400025,daily,restaurant,dostlar sofrası,restaurant,,,,,
5298509516,node,40.7972916,29.4378161,daily,cafe,simit sarayı,cafe,,,,,
5298509523,node,40.7971387,29.4344034,daily,convenience,,,convenience,,,,
5298509524,node,40.7972898,29.4342007,daily,bank,Garanti Bankası,bank,,,,,
5298509526,node,40.7977192,29.4325971,daily,cafe,,cafe,,,,,
5298509574,node,40.7996108,29.4305274,transport,bus_stop,Ak Çarşı,,,,bus_stop,platform,
5298509584,node,40.8010195,29.4330244,daily,bank,Garanti Bankası,bank,,,,,
5298509631,node,40.802433,29.4396913,transport,bus_stop,,,,,bus_stop,platform,
5298509632,node,40.8025408,29.4401116,transport,bus_stop,,,,,bus_stop,platform,
5298509641,node,40.8018109,29.4400384,daily,supermarket,,,supermarket,,,,
5298509650,node,40.7952884,29.4590383,transport,bus_stop,Gebze Otogar,,,,bus_stop,platform,
5308152921,node,40.6841181,29.9564688,daily,restaurant,,restaurant,,,,,
5325062422,node,40.7556238,30.0176279,daily,cafe,Meydan kıraathanesi,cafe,,,,,
5461778221,node,40.7642118,29.9343717,daily,bank,Kuveyt Türk,bank,,,,,
5615250976,node,40.7651523,29.9297042,daily,cafe,Down Cafe,cafe,,,,,
5622276183,node,40.7631627,29.924736,daily,marketplace,Kapanönü Kapalı Çarşı,marketplace,,,,,
5623746804,node,40.8235528,29.9263767,transport,bus_stop,,,,,bus_stop,platform,
5643216622,node,40.6972209,30.214088,daily,cafe,Uğurlu Dükkan,cafe,,,,,
5673856023,node,40.7656622,29.9345133,transport,bus_stop,,,,,bus_stop,platform,
5812678455,node,40.7180981,30.1566726,daily,restaurant,Kartepe Sukay Park,restaurant,,,,,
5812982453,node,40.68922,30.2338823,daily,restaurant,Gazibey,restaurant,,,,,
5820608154,node,40.693185,29.6106479,daily,restaurant,,restaurant,,,,,
5838831386,node,40.7633353,29.9330642,daily,cafe,Cafe de Luca,cafe,,,,,
5846661989,node,40.6978184,30.2118491,daily,restaurant,Adıbahçe Kırkpınar,restaurant,,,,,
5856758685,node,40.6752526,29.9722855,daily,restaurant,,restaurant,,,,,
5858680686,node,40.7021667,29.8422589,daily,supermarket,Kesmar Market,,supermarket,,,,
5924653535,node,40.8216906,29.9277311,daily,supermarket,Şok,,supermarket,,,,
