district,building_age_group,m2_group,n,mape,mae
Kayacık Mh.,21-25 arası,101-125,1,0.04827917188426441,1810.4689456599153
Dereköy Mh.,6-10 arası,126-150,2,0.04784080833432323,1581.3128933663866
Ereğli Mh.,0 (Oturuma Hazır),200+,3,0.04775670603556456,1770.6629395121174
Ereğli Mh.,11-15 arası,151-200,1,0.04208788715472516,1832.8597240899617
4 Temmuz Mah.,16-20 arası,151-200,1,0.0321242796909034,1370.0060834347387
Kayacık Mh.,1,0-75,3,0.030412438089191727,1480.4659644625306
Kayacık Mh.,0 (Yapım Aşamasında),76-100,1,0.02285954429037513,1214.4132904261787
Kayacık Mh.,6-10 arası,126-150,1,0.017814557053128642,771.964079587051
Ereğli Mh.,0 (Oturuma Hazır),151-200,1,0.017052806109666644,767.376274934999
4 Temmuz Mah.,4,101-125,1,0.006135330370034155,253.08237776390888
Tepeköy Mh.,21-25 arası,0-75,1,0.0027570534086774653,119.47230518584547
