county,model,feature,importance
Başiskele,extra_trees,cat__building_age_group_4,0.0018055768698073545
Başiskele,extra_trees,num__district_room_rent_m2_median,0.0017928715776047964
Başiskele,extra_trees,num__inside_quality_score,0.001791077065645977
Başiskele,extra_trees,cat__m2_group_126-150,0.00178738685930272
Başiskele,extra_trees,num__outside_quality_score,0.0017819679113662517
Başiskele,extra_trees,num__demo_education_doctorate_ratio,0.0017547694661137312
Başiskele,extra_trees,num__bsk_distance_to_sea_x_site_inside,0.0017391172642096206
Başiskele,extra_trees,num__distance_to_coast_x_site_inside,0.0017373980879205474
Başiskele,extra_trees,cat__floor_segment_Ara Kat,0.0017365210995060611
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||151-200,0.0017165562692620946
Başiskele,extra_trees,num__is_coastal_2000m,0.0016956717967323116
Başiskele,extra_trees,num__detail_effect_nearby_mean,0.0016872980824246073
Başiskele,extra_trees,num__is_coastal_500m,0.0016833014641624109
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_0||4+1,0.0016743607078046994
Başiskele,extra_trees,num__detail_effect_nearby_sum,0.0016709090505620825
Başiskele,extra_trees,num__bsk_distance_to_sea_x_large_home,0.0016632849423358145
Başiskele,extra_trees,num__detail_effect_view_sum,0.0016620851621720742
Başiskele,extra_trees,num__lon_centered_city,0.0016540297074816824
Başiskele,extra_trees,cat__coast_distance_bucket_500_1000,0.0016438886982310089
Başiskele,extra_trees,num__attr_heating_quality_score,0.0016308622672946322
Başiskele,extra_trees,num__detail_effect_used_count,0.0016200629190193084
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_0||3+1,0.0016150326534034262
Başiskele,extra_trees,num__detail_effect_positive_count,0.0016055582410728051
Başiskele,extra_trees,num__district_target_mean,0.0016009189527676222
Başiskele,extra_trees,num__detail_view_count,0.0015889822077666184
Başiskele,extra_trees,num__log_distance_to_sea,0.0015663462478538498
Başiskele,extra_trees,cat__building_age_group_1,0.0015631273142758255
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_9||2+1,0.00155007880148733
Başiskele,extra_trees,num__basiskele_has_security_signal,0.0015363822549919613
Başiskele,extra_trees,num__lon,0.0015273228366607914
Başiskele,extra_trees,num__demo_density_vs_county,0.0015195432560899378
Başiskele,extra_trees,num__detail_effect_view_x_location_baseline,0.0015108506973888743
Başiskele,extra_trees,cat__coast_distance_bucket_1000_3000,0.0015101534185729842
Başiskele,extra_trees,num__attr_amenity_score,0.001504915192246436
Başiskele,extra_trees,num__location_quality_x_detail_effect_total,0.0014869769155116174
Başiskele,extra_trees,cat__detail_cephe_Batı|Doğu|Güney|Kuzey,0.00148311748427857
Başiskele,extra_trees,num__attr_effect_building_age_bucket,0.001479215569268435
Başiskele,extra_trees,num__large_home_basiskele_premium,0.00147493299766513
Başiskele,extra_trees,num__site_security_score,0.0014724166379616267
Başiskele,extra_trees,num__attr_old_building_x_no_elevator,0.0014500803283147188
Başiskele,extra_trees,num__basiskele_site_premium_signal,0.0014494632325142926
Başiskele,extra_trees,num__attr_is_young_building,0.0014434720444384559
